DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,14.9,14.5,25.8,,13.6,92,,285,1,1,,,,946.9,1011.2,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,14.9,14.5,25.8,,13.6,92,,223,0,1,,,,947.0,1011.3,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,14.8,14.5,25.8,,13.5,92,,269,1,2,,,,947.2,1011.5,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,15.0,14.5,25.8,,13.7,92,,298,1,1,,,,947.4,1011.7,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,14.9,14.5,25.8,,13.6,92,,294,1,1,,,,947.5,1011.8,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,15.2,14.5,25.8,,13.9,92,,131,0,1,,,,947.7,1012.0,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,15.1,14.5,25.8,,13.8,92,,269,0,1,,,,947.7,1012.0,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,15.2,14.5,25.8,,13.9,92,,289,1,1,,,,947.7,1012.0,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,15.5,14.5,25.8,,14.2,92,,300,0,1,,,,947.9,1012.1,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,15.9,14.5,25.8,,14.6,92,,214,0,2,,,,948.0,1012.1,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,16.8,14.5,25.8,,15.5,92,,237,0,2,,,,948.2,1012.1,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,18.0,14.5,25.8,,16.3,90,,270,0,1,,,,948.2,1011.9,,,,,,,,,,0.0,,
