DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,15.0,14.6,21.3,,14.2,95,,6,1,2,,,,933.7,1012.0,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,15.0,14.6,21.3,,14.2,95,,339,1,2,,,,933.7,1012.0,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,15.4,14.6,21.3,,14.2,93,,328,1,3,,,,933.9,1012.1,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,15.0,14.6,21.3,,14.3,96,,289,0,3,,,,934.2,1012.6,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,14.9,14.6,21.3,,14.1,95,,70,1,2,,,,934.2,1012.6,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,14.7,14.6,21.3,,14.0,96,,37,1,2,,,,934.2,1012.6,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,14.6,14.6,21.3,,14.2,98,,321,1,3,,,,934.2,1012.7,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,14.6,14.6,21.3,,14.2,98,,29,1,3,,,,934.5,1013.0,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,15.3,14.6,21.3,,14.6,96,,266,1,2,,,,934.5,1012.8,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,15.9,14.6,21.3,,15.1,95,,355,0,3,,,,934.5,1012.6,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,16.2,14.6,21.3,,15.0,93,,15,0,3,,,,934.5,1012.5,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,17.2,14.6,17.3,14.6,16.0,93,,25,1,2,,,,934.5,1012.3,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,18.2,17.3,18.2,,16.3,89,,102,0,2,,,,935.1,1012.6,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,19.1,17.3,19.1,,16.3,84,,83,1,3,,,,935.1,1012.4,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,20.2,17.3,20.3,,16.4,79,,160,2,3,,,,935.1,1012.1,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,21.0,17.3,21.1,,16.0,73,,129,2,4,,,,935.4,1012.2,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,21.6,17.3,21.9,,15.2,67,,204,3,5,,,,935.5,1012.1,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,22.5,17.3,22.6,,14.1,59,,138,2,5,,,,935.5,1011.9,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,23.3,17.3,23.4,,13.8,55,,299,1,5,,,,935.5,1011.7,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,24.0,17.3,24.2,,14.2,54,,113,2,6,,,,935.5,1011.5,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,24.0,17.3,24.4,,15.0,57,,348,2,8,,,,935.3,1011.3,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,23.9,17.3,24.4,,14.3,55,,113,2,9,,,,935.2,1011.2,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,24.8,17.3,25.0,,15.2,55,,136,2,7,,,,935.2,1010.9,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,24.7,17.3,25.2,,14.5,53,,143,4,10,,,,935.2,1011.0,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,24.5,17.3,25.2,,14.6,54,,161,4,10,,,,934.7,1010.5,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,25.4,17.3,25.5,,14.6,51,,148,4,7,,,,934.7,1010.3,,,,,,,,,,,,
2024-12-01,6:45:00,,0.0,25.7,17.3,26.0,,15.2,52,,130,1,9,,,,934.7,1010.2,,,,,,,,,,,,
2024-12-01,7:00:00,,0.0,25.2,17.3,26.1,,14.7,52,,53,4,10,,,,934.7,1010.3,,,,,,,,,,,,
2024-12-01,7:15:00,,0.0,25.6,17.3,26.1,,15.6,54,,21,3,9,,,,933.8,1009.2,,,,,,,,,,,,
