DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,15.7,15.6,26.3,,15.7,86,,175,0,1,,,,,,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,15.7,15.6,26.3,,15.7,88,,152,0,1,,,,,,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,15.7,15.6,26.3,,15.7,88,,162,0,1,,,,,,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,15.8,15.6,26.3,,15.8,88,,156,1,1,,,,,,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,15.8,15.6,26.3,,15.8,88,,160,0,1,,,,,,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,15.8,15.6,26.3,,15.8,88,,156,0,1,,,,,,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,15.8,15.6,26.3,,15.8,88,,161,0,1,,,,,,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,15.9,15.6,26.3,,15.9,88,,142,0,1,,,,,,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,16.4,15.6,26.3,,16.4,89,,159,0,1,,,,,,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,16.8,15.6,26.3,,16.8,88,,184,0,1,,,,,,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,17.6,15.6,26.3,,17.6,87,,155,0,1,,,,,,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,18.4,15.6,26.3,,18.4,84,,206,0,0,,,,,,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,19.5,15.6,19.5,15.6,19.5,82,,291,0,0,,,,,,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,20.8,19.5,20.9,,20.8,73,,307,1,1,,,,,,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,21.7,19.5,21.8,,21.7,67,,273,1,1,,,,,,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,22.8,19.5,22.8,,22.8,62,,125,0,3,,,,,,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,23.4,19.5,23.6,,23.4,59,,107,0,3,,,,,,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,23.8,19.5,23.8,,23.8,57,,103,1,3,,,,,,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,24.1,19.5,24.2,,24.1,57,,148,0,4,,,,,,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,24.5,19.5,24.5,,24.5,57,,117,1,3,,,,,,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,24.9,19.5,25.0,,24.9,56,,131,1,4,,,,,,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,24.9,19.5,25.0,,24.9,56,,136,1,4,,,,,,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,24.9,19.5,25.1,,24.9,57,,101,2,5,,,,,,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,25.1,19.5,25.3,,25.1,57,,103,1,5,,,,,,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,25.4,19.5,25.5,,25.4,58,,115,0,5,,,,,,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,25.9,19.5,26.0,,25.9,57,,131,1,5,,,,,,,,,,,,,,,,,
2024-12-01,6:45:00,,0.0,26.1,19.5,26.2,,26.1,57,,132,1,4,,,,,,,,,,,,,,,,,
2024-12-01,7:00:00,,0.0,26.5,19.5,26.5,,26.5,57,,176,1,4,,,,,,,,,,,,,,,,,
2024-12-01,7:15:00,,0.0,26.6,19.5,27.0,,26.6,56,,106,1,3,,,,,,,,,,,,,,,,,
2024-12-01,7:30:00,,0.0,26.8,19.5,27.0,,26.8,56,,103,1,4,,,,,,,,,,,,,,,,,
2024-12-01,7:45:00,,0.0,27.1,19.5,27.3,,27.1,56,,192,0,4,,,,,,,,,,,,,,,,,
2024-12-01,8:00:00,,0.0,27.7,19.5,27.8,,27.7,56,,109,1,4,,,,,,,,,,,,,,,,,
2024-12-01,8:15:00,,0.0,28.2,19.5,28.3,,28.2,53,,118,1,6,,,,,,,,,,,,,,,,,
2024-12-01,8:30:00,,0.0,28.2,19.5,28.3,,28.2,55,,292,0,6,,,,,,,,,,,,,,,,,
2024-12-01,8:45:00,,0.0,27.7,19.5,28.7,,27.7,55,,234,0,5,,,,,,,,,,,,,,,,,
