DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,18.3,16.0,25.6,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,18.6,16.0,25.6,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,18.5,16.0,25.6,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,18.7,16.0,25.6,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,18.5,16.0,25.6,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,18.2,16.0,25.6,,,65,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,18.3,16.0,25.6,,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,18.0,16.0,25.6,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,18.1,16.0,25.6,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,18.8,16.0,25.6,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,19.3,16.0,25.6,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,19.7,16.0,25.6,,,59,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,20.2,16.0,20.2,16.0,,58,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,20.4,20.1,20.5,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,20.9,20.1,21.0,,,55,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,21.6,20.1,21.7,,,54,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,22.4,20.1,22.5,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,22.4,20.1,22.8,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,23.0,20.1,23.2,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,23.3,20.1,23.5,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,24.1,20.1,24.4,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,24.0,20.1,24.4,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,24.5,20.1,24.7,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,25.0,20.1,25.4,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,25.4,20.1,25.8,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,25.9,20.1,26.1,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,26.1,20.1,26.5,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:45:00,,0.0,26.6,20.1,26.6,,,47,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:00:00,,0.0,26.9,20.1,27.2,,,46,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:15:00,,0.0,27.3,20.1,27.4,,,46,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:30:00,,0.0,27.3,20.1,27.5,,,45,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:45:00,,0.0,27.1,20.1,27.7,,,46,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:00:00,,0.0,27.1,20.1,27.7,,,45,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:15:00,,0.0,27.5,20.1,27.8,,,47,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:30:00,,0.0,27.6,20.1,27.8,,,45,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:45:00,,0.0,27.3,20.1,27.8,,,45,,,,,,,,,,,,,,,,,,,,,
2024-12-01,9:00:00,,0.0,27.3,20.1,27.8,,,46,,,,,,,,,,,,,,,,,,,,,
2024-12-01,9:15:00,,0.0,27.4,20.1,27.8,,,45,,,,,,,,,,,,,,,,,,,,,
2024-12-01,9:30:00,,0.0,27.4,20.1,27.8,,,46,,,,,,,,,,,,,,,,,,,,,
