DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,15.6,14.5,24.5,,15.6,100,,244,1,2,,,,948.8,1012.5,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,15.7,14.5,24.5,,15.7,100,,257,0,2,,,,949.0,1012.7,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,15.9,14.5,24.5,,15.9,100,,242,1,2,,,,949.2,1012.8,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,15.8,14.5,24.5,,15.8,100,,237,1,3,,,,949.3,1013.0,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,16.0,14.5,24.5,,16.0,100,,243,1,3,,,,949.4,1013.0,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,16.0,14.5,24.5,,16.0,100,,244,1,2,,,,949.6,1013.2,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,16.1,14.5,24.5,,16.1,100,,244,0,2,,,,949.8,1013.4,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,16.0,14.5,24.5,,16.0,100,,280,0,2,,,,949.9,1013.5,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,16.2,14.5,24.5,,16.2,100,,228,1,2,,,,950.0,1013.6,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,17.0,14.5,24.5,,17.0,100,,234,1,2,,,,950.0,1013.4,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,17.6,14.5,24.5,,17.6,100,,256,0,1,,,,950.1,1013.4,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,18.1,14.5,24.5,,18.1,100,,252,0,3,,,,950.1,1013.3,,,,,,,,,,0.0,,
2024-12-01,3:00:00,,0.0,18.7,14.5,18.8,14.5,18.7,100,,226,1,3,,,,950.3,1013.4,,,,,,,,,,0.0,,
2024-12-01,3:15:00,,0.0,19.6,18.8,19.7,,19.6,100,,288,1,3,,,,950.3,1013.2,,,,,,,,,,0.0,,
2024-12-01,3:30:00,,0.0,20.1,18.8,20.1,,20.1,100,,274,0,2,,,,950.5,1013.3,,,,,,,,,,0.0,,
2024-12-01,3:45:00,,0.0,20.2,18.8,20.3,,20.2,100,,262,1,3,,,,950.5,1013.2,,,,,,,,,,0.0,,
2024-12-01,4:00:00,,0.0,20.4,18.8,20.5,,20.4,100,,261,1,3,,,,950.5,1013.2,,,,,,,,,,0.0,,
2024-12-01,4:15:00,,0.0,21.0,18.8,21.0,,21.0,100,,308,1,3,,,,950.5,1013.1,,,,,,,,,,0.0,,
2024-12-01,4:30:00,,0.0,21.6,18.8,21.6,,21.6,100,,163,0,3,,,,950.5,1012.9,,,,,,,,,,0.0,,
2024-12-01,4:45:00,,0.0,22.0,18.8,22.0,,22.0,100,,311,1,3,,,,950.5,1012.8,,,,,,,,,,0.0,,
2024-12-01,5:00:00,,0.0,22.2,18.8,22.3,,22.2,100,,324,1,3,,,,950.3,1012.6,,,,,,,,,,0.0,,
2024-12-01,5:15:00,,0.0,22.7,18.8,22.8,,22.7,100,,36,0,4,,,,950.1,1012.3,,,,,,,,,,0.0,,
2024-12-01,5:30:00,,0.0,23.3,18.8,23.3,,23.3,100,,52,1,3,,,,949.9,1011.9,,,,,,,,,,0.0,,
2024-12-01,5:45:00,,0.0,23.8,18.8,23.8,,23.8,100,,76,2,4,,,,949.7,1011.6,,,,,,,,,,0.0,,
2024-12-01,6:00:00,,0.0,24.2,18.8,24.6,,24.2,100,,316,1,5,,,,949.4,1011.2,,,,,,,,,,0.0,,
2024-12-01,6:15:00,,0.0,24.5,18.8,24.7,,24.5,100,,70,2,7,,,,949.2,1010.9,,,,,,,,,,0.0,,
2024-12-01,6:30:00,,0.0,25.7,18.8,26.0,,25.1,97,,44,1,5,,,,949.0,1010.5,,,,,,,,,,0.0,,
2024-12-01,6:45:00,,0.0,26.1,18.8,26.4,,25.4,96,,61,3,6,,,,948.6,1009.9,,,,,,,,,,0.0,,
2024-12-01,7:00:00,,0.0,27.0,18.8,27.0,,25.9,94,,9,0,8,,,,948.3,1009.4,,,,,,,,,,0.0,,
2024-12-01,7:15:00,,0.0,27.2,18.8,27.3,,25.2,89,,46,1,5,,,,947.9,1009.0,,,,,,,,,,0.0,,
