DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,18.7,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,19.0,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,19.0,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,19.0,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,19.0,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,19.0,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,18.9,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,18.8,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,18.7,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,18.7,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,18.7,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,18.8,17.5,25.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,3:00:00,,0.0,19.3,17.5,19.4,17.5,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,3:15:00,,0.0,19.0,19.0,19.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,3:30:00,,0.0,19.2,19.0,19.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,3:45:00,,0.0,19.3,19.0,19.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,4:00:00,,0.0,20.2,19.0,20.3,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,4:15:00,,0.0,20.8,19.0,20.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,4:30:00,,0.0,21.8,19.0,21.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,4:45:00,,0.0,22.9,19.0,23.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,5:00:00,,0.0,23.7,19.0,23.7,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,5:15:00,,0.0,23.8,19.0,24.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,5:30:00,,0.0,24.4,19.0,24.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,5:45:00,,0.0,24.6,19.0,24.8,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,6:00:00,,0.0,24.9,19.0,25.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,6:15:00,,0.0,24.6,19.0,25.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,6:30:00,,0.0,24.9,19.0,25.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,6:45:00,,0.0,25.4,19.0,25.5,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,7:00:00,,0.0,25.8,19.0,25.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,7:15:00,,0.0,26.3,19.0,26.3,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,7:30:00,,0.0,26.4,19.0,26.4,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,7:45:00,,0.0,26.5,19.0,26.8,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,8:00:00,,0.0,26.2,19.0,26.8,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,8:15:00,,0.0,26.2,19.0,26.8,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,8:30:00,,0.0,27.2,19.0,27.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,8:45:00,,0.0,27.4,19.0,27.8,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,9:00:00,,0.0,26.8,19.0,27.8,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,9:15:00,,0.0,27.8,19.0,27.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,9:30:00,,0.0,27.7,19.0,27.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,9:45:00,,0.0,27.6,19.0,27.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,10:00:00,,0.0,27.9,19.0,27.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,10:15:00,,0.0,27.9,19.0,28.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,10:30:00,,0.0,27.4,19.0,28.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,10:45:00,,0.0,27.0,19.0,28.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,11:00:00,,0.0,26.9,19.0,28.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,11:15:00,,0.0,26.8,19.0,28.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,11:30:00,,0.0,26.4,19.0,28.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,11:45:00,,0.0,25.9,19.0,28.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,12:00:00,,0.0,25.1,25.1,28.1,28.1,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,12:15:00,,0.0,24.9,24.9,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,12:30:00,,0.0,24.6,24.6,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,12:45:00,,0.0,24.6,24.6,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,13:00:00,,0.0,24.6,24.6,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,13:15:00,,0.0,24.4,24.4,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,13:30:00,,0.0,24.3,24.3,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,13:45:00,,0.0,24.2,24.2,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,14:00:00,,0.0,24.5,24.2,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,14:15:00,,0.0,23.6,23.6,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,14:30:00,,0.0,23.6,23.5,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,14:45:00,,0.0,24.2,23.5,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,15:00:00,,0.0,23.1,23.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,15:30:00,,0.0,22.7,22.8,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,15:45:00,,0.0,22.2,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,16:00:00,,0.0,23.1,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,16:15:00,,0.0,22.9,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,16:30:00,,0.0,22.5,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,16:45:00,,0.0,22.2,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,17:00:00,,0.0,22.5,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,17:15:00,,0.0,22.3,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,17:30:00,,0.0,22.1,22.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,17:45:00,,0.0,21.7,21.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,18:00:00,,0.0,21.4,21.5,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,18:15:00,,0.0,21.5,21.4,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,18:30:00,,0.0,21.3,21.2,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,18:45:00,,0.0,21.2,21.2,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,19:00:00,,0.0,21.1,21.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,19:15:00,,0.0,21.1,21.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,19:30:00,,0.0,21.0,21.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,19:45:00,,0.0,20.9,21.0,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,20:00:00,,0.0,20.9,20.9,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,20:15:00,,0.0,20.7,20.8,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,20:30:00,,0.0,20.5,20.5,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,20:45:00,,0.0,20.6,20.5,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,21:00:00,,0.0,20.7,20.5,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,21:15:00,,0.0,20.3,20.4,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,21:30:00,,0.0,20.5,20.3,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,21:45:00,,0.0,20.3,20.3,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,22:00:00,,0.0,20.1,20.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,22:15:00,,0.0,20.3,20.1,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,22:30:00,,0.0,19.6,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,22:45:00,,0.0,19.8,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,23:00:00,,0.0,20.2,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,23:15:00,,0.0,20.2,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,23:30:00,,0.0,20.0,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,23:45:00,,0.0,20.1,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,0:00:00,,0.0,20.4,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,0:15:00,,0.0,19.9,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,0:30:00,,0.0,20.0,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,0:45:00,,0.0,19.9,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,1:00:00,,0.0,19.9,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,1:15:00,,0.0,19.8,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,1:30:00,,0.0,19.9,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,1:45:00,,0.0,20.0,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,2:00:00,,0.0,20.2,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,2:15:00,,0.0,20.2,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,2:30:00,,0.0,20.4,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,2:45:00,,0.0,20.7,19.7,25.2,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,3:00:00,,0.0,21.0,19.7,21.1,19.7,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,3:15:00,,0.0,21.4,21.1,21.5,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,3:30:00,,0.0,21.9,21.1,22.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,3:45:00,,0.0,22.7,21.1,22.7,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,4:00:00,,0.0,23.6,21.1,23.6,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,4:15:00,,0.0,23.9,21.1,24.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,4:30:00,,0.0,24.0,21.1,24.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,4:45:00,,0.0,24.5,21.1,24.5,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,5:15:00,,0.0,25.6,21.1,25.6,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,5:30:00,,0.0,25.9,21.1,26.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,5:45:00,,0.0,26.7,21.1,26.7,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,6:00:00,,0.0,26.1,21.1,26.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,6:15:00,,0.0,27.0,21.1,27.1,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,6:30:00,,0.0,27.5,21.1,27.5,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,6:45:00,,0.0,27.8,21.1,27.9,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,7:00:00,,0.0,27.2,21.1,28.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,7:15:00,,0.0,27.1,21.1,28.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,7:30:00,,0.0,27.7,21.1,28.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,7:45:00,,0.0,27.2,21.1,28.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,8:00:00,,0.0,27.5,21.1,28.0,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,8:15:00,,0.0,28.4,21.1,28.6,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,8:30:00,,0.0,27.8,21.1,28.6,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,8:45:00,,0.0,28.3,21.1,28.6,,,100,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-02,9:00:00,,0.0,27.8,21.1,28.6,,,100,,,,,,,,,,,,,,,,,,,0.0,,
