DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,14.3,12.5,24.0,,13.9,98,,250,2,3,,,,948.0,1013.0,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,13.9,12.5,24.0,,13.7,99,,256,1,3,,,,948.3,1013.4,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,14.4,12.5,24.0,,14.0,98,,226,0,2,,,,948.5,1013.5,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,14.2,12.5,24.0,,13.8,98,,229,0,1,,,,948.5,1013.5,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,13.9,12.5,24.0,,13.5,98,,232,0,1,,,,948.8,1013.9,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,14.0,12.5,24.0,,13.8,99,,202,0,1,,,,948.9,1014.0,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,13.9,12.5,24.0,,13.7,99,,221,0,1,,,,949.0,1014.2,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,13.9,12.5,24.0,,13.7,99,,204,1,1,,,,949.1,1014.3,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,14.1,12.5,24.0,,13.7,98,,207,1,2,,,,949.2,1014.3,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,14.6,12.5,24.0,,14.2,98,,204,1,2,,,,949.2,1014.2,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,15.1,12.5,24.0,,14.7,98,,221,0,1,,,,949.2,1014.1,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,16.1,12.5,24.0,,15.7,98,,264,0,1,,,,949.3,1014.0,,,,,,,,,,0.0,,
2024-12-01,3:00:00,,0.0,17.3,12.5,17.3,12.5,17.1,99,,134,0,1,,,,949.4,1013.8,,,,,,,,,,0.0,,
2024-12-01,3:15:00,,0.0,18.0,17.0,18.4,,17.8,99,,50,1,2,,,,949.5,1013.7,,,,,,,,,,0.0,,
2024-12-01,3:30:00,,0.0,18.8,17.0,19.0,,18.4,98,,48,0,1,,,,949.7,1013.8,,,,,,,,,,0.0,,
2024-12-01,3:45:00,,0.0,20.4,17.0,20.6,,14.3,68,,102,0,2,,,,949.8,1013.5,,,,,,,,,,0.0,,
2024-12-01,4:00:00,,0.0,21.1,17.0,21.6,,14.0,64,,80,1,3,,,,949.8,1013.4,,,,,,,,,,0.0,,
2024-12-01,4:15:00,,0.0,21.3,17.0,21.7,,13.2,60,,92,1,2,,,,949.8,1013.3,,,,,,,,,,0.0,,
2024-12-01,4:30:00,,0.0,21.7,17.0,22.2,,14.4,63,,82,2,3,,,,949.7,1013.1,,,,,,,,,,0.0,,
