DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,0.0,0.0,17.7,16.3,18.7,,16.5,93,,260,0,2,,,,945.2,1009.0,,,,,,,,,,,,
2024-12-01,0:15:00,0.0,0.0,16.0,16.0,18.7,,14.5,91,,260,0,2,,,,945.3,1009.5,,,,,,,,,,,,
2024-12-01,0:30:00,0.0,0.0,16.1,16.0,18.7,,14.9,93,,215,0,2,,,,945.6,1009.8,,,,,,,,,,,,
2024-12-01,0:45:00,0.0,0.0,16.1,16.0,18.7,,15.1,94,,253,0,2,,,,945.7,1009.9,,,,,,,,,,,,
2024-12-01,1:00:00,0.0,0.0,16.1,16.0,16.2,,15.1,94,,312,0,1,,,,945.9,1010.1,,,,,,,,,,,,
2024-12-01,1:15:00,0.0,0.0,17.4,16.0,17.4,,16.4,94,,314,2,2,,,,945.9,1009.8,,,,,,,,,,,,
2024-12-01,1:30:00,0.0,0.0,16.2,16.0,17.5,,15.0,93,,304,1,2,,,,946.0,1010.2,,,,,,,,,,,,
2024-12-01,1:45:00,0.0,0.0,17.6,16.0,17.6,,16.7,95,,301,0,2,,,,946.1,1010.0,,,,,,,,,,,,
2024-12-01,2:00:00,0.0,0.0,18.1,16.4,18.1,,17.1,94,,301,0,0,,,,946.2,1010.0,,,,,,,,,,,,
2024-12-01,2:15:00,0.0,0.0,17.1,16.4,18.6,,15.4,90,,120,0,1,,,,946.3,1010.3,,,,,,,,,,,,
