DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,19.1,16.6,24.5,,14.8,76,,61,3,11,,,,939.5,1009.4,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,19.0,16.6,24.5,,14.5,75,,52,3,10,,,,939.2,1009.1,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,18.8,16.6,24.5,,14.1,74,,47,5,12,,,,939.2,1009.2,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,18.8,16.6,24.5,,14.1,74,,50,4,12,,,,939.4,1009.4,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,19.6,16.6,24.5,,13.1,66,,49,5,12,,,,939.9,1009.7,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,19.2,16.6,24.5,,13.4,69,,43,5,12,,,,940.2,1010.1,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,18.7,16.6,24.5,,14.2,75,,45,4,11,,,,940.1,1010.2,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,18.8,16.6,24.5,,14.3,75,,42,5,12,,,,940.0,1010.0,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,19.3,16.6,24.5,,13.9,71,,32,5,12,,,,940.4,1010.3,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,19.7,16.6,24.5,,14.1,70,,36,5,13,,,,941.0,1010.9,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,19.7,16.6,24.5,,14.5,72,,41,4,11,,,,941.5,1011.4,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,20.2,16.6,24.5,,14.3,69,,53,4,15,,,,941.9,1011.7,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,20.3,16.6,20.4,16.6,14.9,71,,41,6,11,,,,942.4,1012.2,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,20.7,20.4,20.8,,15.0,70,,45,4,13,,,,942.8,1012.6,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,21.3,20.4,21.3,,15.4,69,,53,4,12,,,,943.2,1012.8,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,21.6,20.4,21.7,,15.4,68,,52,5,15,,,,943.4,1013.0,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,22.0,20.4,22.1,,15.8,68,,56,5,14,,,,943.5,1013.0,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,22.3,20.4,22.4,,15.6,66,,53,3,13,,,,943.6,1013.0,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,22.7,20.4,22.7,,16.0,66,,53,6,15,,,,943.8,1013.1,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,23.2,20.4,23.3,,16.0,64,,63,5,14,,,,944.1,1013.3,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,23.7,20.4,23.8,,16.3,63,,61,5,14,,,,944.3,1013.4,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,23.9,20.4,24.0,,16.2,62,,54,5,14,,,,943.5,1012.5,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,24.3,20.4,24.4,,16.3,61,,68,6,16,,,,943.5,1012.4,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,24.7,20.4,24.8,,16.2,59,,74,5,14,,,,943.5,1012.3,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,25.3,20.4,25.3,,17.0,60,,77,3,14,,,,943.7,1012.4,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,25.9,20.4,26.0,,16.5,56,,72,5,14,,,,944.3,1012.9,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,26.1,20.4,26.2,,16.7,56,,82,6,13,,,,943.5,1012.0,,,,,,,,,,,,
2024-12-01,6:45:00,,0.0,26.4,20.4,26.8,,16.7,55,,84,5,12,,,,943.0,1011.4,,,,,,,,,,,,
2024-12-01,7:00:00,,0.0,27.0,20.4,27.0,,16.7,53,,78,4,11,,,,942.4,1010.6,,,,,,,,,,,,
2024-12-01,7:15:00,,0.0,27.2,20.4,27.4,,16.8,53,,99,4,9,,,,942.5,1010.7,,,,,,,,,,,,
2024-12-01,7:30:00,,0.0,27.3,20.4,27.4,,16.9,53,,78,4,11,,,,941.2,1009.3,,,,,,,,,,,,
2024-12-01,7:45:00,,0.0,28.0,20.4,28.1,,17.0,51,,87,5,11,,,,942.1,1010.1,,,,,,,,,,,,
2024-12-01,8:00:00,,0.0,28.0,20.4,28.2,,17.0,51,,108,3,10,,,,941.6,1009.5,,,,,,,,,,,,
2024-12-01,8:15:00,,0.0,28.0,20.4,28.3,,17.3,52,,112,4,10,,,,940.6,1008.5,,,,,,,,,,,,
2024-12-01,8:30:00,,0.0,28.6,20.4,28.6,,16.9,49,,115,4,10,,,,940.8,1008.5,,,,,,,,,,,,
2024-12-01,8:45:00,,0.0,28.6,20.4,28.7,,16.9,49,,126,3,9,,,,941.4,1009.2,,,,,,,,,,,,
2024-12-01,9:00:00,,0.0,29.6,20.4,29.7,,17.2,47,,137,3,6,,,,940.7,1008.2,,,,,,,,,,,,
2024-12-01,9:15:00,,0.0,28.7,20.4,29.7,,16.7,48,,87,4,8,,,,939.5,1007.1,,,,,,,,,,,,
2024-12-01,9:30:00,,0.0,27.8,20.4,29.7,,18.5,57,,229,3,6,,,,935.6,1003.1,,,,,,,,,,,,
2024-12-01,9:45:00,,0.0,27.1,20.4,29.7,,18.4,59,,263,2,5,,,,933.2,1000.7,,,,,,,,,,,,
2024-12-01,10:00:00,,0.0,27.2,20.4,29.7,,18.8,60,,207,2,5,,,,933.9,1001.5,,,,,,,,,,,,
2024-12-01,10:15:00,,0.0,27.0,20.4,29.7,,18.9,61,,255,2,4,,,,935.0,1002.7,,,,,,,,,,,,
2024-12-01,10:30:00,,0.0,26.7,20.4,29.7,,18.6,61,,211,2,5,,,,935.1,1002.9,,,,,,,,,,,,
2024-12-01,10:45:00,,0.0,26.7,20.4,29.7,,19.1,63,,277,2,5,,,,935.4,1003.2,,,,,,,,,,,,
2024-12-01,11:00:00,,0.0,26.4,20.4,29.7,,19.6,66,,277,2,4,,,,935.4,1003.3,,,,,,,,,,,,
2024-12-01,11:15:00,,0.0,25.7,20.4,29.7,,20.1,71,,301,3,4,,,,934.2,1002.1,,,,,,,,,,,,
2024-12-01,11:30:00,,0.0,25.7,20.4,29.7,,20.3,72,,287,2,4,,,,934.5,1002.4,,,,,,,,,,,,
2024-12-01,11:45:00,,0.0,25.3,20.4,29.7,,20.1,73,,281,1,3,,,,934.5,1002.5,,,,,,,,,,,,
2024-12-01,12:00:00,,0.0,24.8,24.9,29.7,29.7,21.7,83,,319,2,3,,,,934.2,1002.3,,,,,,,,,,,,
2024-12-01,12:15:00,,0.0,24.2,24.2,24.9,,21.3,84,,338,2,4,,,,934.1,1002.4,,,,,,,,,,,,
2024-12-01,12:30:00,,0.0,23.5,23.5,24.9,,21.6,89,,24,2,4,,,,934.2,1002.7,,,,,,,,,,,,
2024-12-01,12:45:00,,0.0,22.2,22.3,24.9,,22.2,100,,62,1,2,,,,934.4,1003.2,,,,,,,,,,,,
2024-12-01,13:00:00,,0.0,21.4,21.5,24.9,,21.4,100,,17,1,2,,,,934.6,1003.6,,,,,,,,,,,,
2024-12-01,13:15:00,,0.0,20.9,20.9,24.9,,20.9,100,,48,1,3,,,,935.1,1004.2,,,,,,,,,,,,
2024-12-01,13:30:00,,0.0,20.6,20.7,24.9,,20.6,100,,44,0,1,,,,935.5,1004.7,,,,,,,,,,,,
2024-12-01,13:45:00,,0.0,20.4,20.4,24.9,,20.4,100,,55,1,2,,,,936.1,1005.4,,,,,,,,,,,,
2024-12-01,14:00:00,,0.0,20.1,20.1,24.9,,20.1,100,,35,1,1,,,,936.7,1006.2,,,,,,,,,,,,
2024-12-01,14:15:00,,0.0,19.8,19.8,24.9,,19.8,100,,44,2,3,,,,937.1,1006.7,,,,,,,,,,,,
2024-12-01,14:30:00,,0.0,19.8,19.7,24.9,,19.8,100,,70,1,3,,,,937.4,1007.0,,,,,,,,,,,,
2024-12-01,14:45:00,,0.0,19.5,19.6,24.9,,19.5,100,,34,1,3,,,,937.7,1007.4,,,,,,,,,,,,
2024-12-01,15:00:00,,0.0,19.3,19.4,24.9,,19.3,100,,80,1,3,,,,938.0,1007.8,,,,,,,,,,,,
2024-12-01,15:15:00,,0.0,19.3,19.3,24.9,,19.3,100,,71,2,4,,,,938.0,1007.8,,,,,,,,,,,,
2024-12-01,15:30:00,,0.0,20.1,19.3,24.9,,20.1,100,,69,2,5,,,,938.4,1008.0,,,,,,,,,,,,
2024-12-01,15:45:00,,0.0,20.9,19.3,24.9,,20.9,100,,57,2,6,,,,939.0,1008.4,,,,,,,,,,,,
2024-12-01,16:00:00,,0.0,20.8,19.3,24.9,,20.8,100,,76,2,5,,,,939.1,1008.6,,,,,,,,,,,,
2024-12-01,16:15:00,,0.0,20.7,19.3,24.9,,20.7,100,,35,2,6,,,,939.3,1008.8,,,,,,,,,,,,
2024-12-01,16:30:00,,0.0,20.3,19.3,24.9,,20.3,100,,48,1,3,,,,939.0,1008.6,,,,,,,,,,,,
2024-12-01,16:45:00,,0.0,20.0,19.3,24.9,,20.0,100,,15,2,4,,,,938.7,1008.3,,,,,,,,,,,,
2024-12-01,17:00:00,,0.0,20.2,19.3,24.9,,20.2,100,,27,1,4,,,,938.6,1008.2,,,,,,,,,,,,
2024-12-01,17:15:00,,0.0,19.5,19.3,24.9,,19.5,100,,93,0,3,,,,938.3,1008.0,,,,,,,,,,,,
2024-12-01,17:30:00,,0.0,19.4,19.3,24.9,,19.4,100,,196,0,1,,,,938.1,1007.8,,,,,,,,,,,,
2024-12-01,17:45:00,,0.0,19.1,19.1,24.9,,19.1,100,,189,1,2,,,,938.0,1007.8,,,,,,,,,,,,
2024-12-01,18:00:00,,0.0,19.0,19.0,24.9,,19.0,100,,8,1,3,,,,937.9,1007.7,,,,,,,,,,,,
2024-12-01,18:15:00,,0.0,18.9,18.9,24.9,,18.9,100,,41,1,4,,,,937.9,1007.7,,,,,,,,,,,,
2024-12-01,18:30:00,,0.0,20.3,18.9,24.9,,20.3,100,,16,4,7,,,,937.9,1007.4,,,,,,,,,,,,
2024-12-01,18:45:00,,0.0,20.4,18.9,24.9,,20.4,100,,21,1,7,,,,938.3,1007.8,,,,,,,,,,,,
2024-12-01,19:00:00,,0.0,20.8,18.9,24.9,,20.8,100,,23,3,5,,,,938.4,1007.8,,,,,,,,,,,,
2024-12-01,19:15:00,,0.0,20.9,18.9,24.9,,20.9,100,,0,2,6,,,,938.5,1007.9,,,,,,,,,,,,
2024-12-01,19:30:00,,0.0,20.4,18.9,24.9,,20.4,100,,319,1,4,,,,938.2,1007.7,,,,,,,,,,,,
2024-12-01,19:45:00,,0.0,19.8,18.9,24.9,,19.8,100,,257,2,4,,,,937.7,1007.3,,,,,,,,,,,,
2024-12-01,20:00:00,,0.0,21.1,18.9,24.9,,21.1,100,,54,1,6,,,,937.5,1006.8,,,,,,,,,,,,
2024-12-01,20:15:00,,0.0,21.8,18.9,24.9,,21.8,100,,69,1,6,,,,937.9,1007.0,,,,,,,,,,,,
2024-12-01,20:30:00,,0.0,21.8,18.9,24.9,,21.8,100,,50,3,8,,,,938.1,1007.2,,,,,,,,,,,,
2024-12-01,20:45:00,,0.0,21.7,18.9,24.9,,21.7,100,,57,2,9,,,,938.1,1007.3,,,,,,,,,,,,
