DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,16.5,14.4,24.9,,11.8,74,,229,3,5,,,,934.3,1013.2,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,16.6,14.4,24.9,,11.9,74,,229,4,5,,,,934.5,1013.4,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,17.2,14.4,24.9,,11.9,71,,232,3,6,,,,934.7,1013.5,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,17.0,14.4,24.9,,11.9,72,,231,3,5,,,,934.8,1013.6,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,17.4,14.4,24.9,,12.1,71,,223,3,4,,,,934.9,1013.6,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,17.4,14.4,24.9,,12.1,71,,211,4,4,,,,935.0,1013.7,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,16.6,14.4,24.9,,12.1,75,,213,3,4,,,,935.1,1014.1,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,15.9,14.4,24.9,,12.6,81,,264,1,4,,,,935.1,1014.3,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,15.6,14.4,24.9,,12.7,83,,208,2,3,,,,935.3,1014.6,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,15.4,14.4,24.9,,13.0,86,,61,1,2,,,,935.5,1014.8,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,15.9,14.4,24.9,,13.7,87,,279,1,1,,,,935.6,1014.8,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,16.8,14.4,24.9,,14.4,86,,218,2,4,,,,935.7,1014.7,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,18.7,14.4,18.7,14.4,14.2,75,,209,2,4,,,,935.7,1014.1,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,19.8,18.7,19.9,,14.6,72,,277,0,2,,,,936.0,1014.1,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,20.2,18.7,20.4,,14.5,70,,291,2,3,,,,936.0,1014.0,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,20.4,18.7,20.5,,13.8,66,,310,2,4,,,,936.0,1014.0,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,21.2,18.7,21.3,,12.9,59,,330,2,5,,,,936.0,1013.8,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,21.6,18.7,21.7,,13.3,59,,325,2,4,,,,936.0,1013.6,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,22.0,18.7,22.0,,13.6,59,,346,2,6,,,,936.0,1013.5,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,22.8,18.7,22.9,,13.9,57,,52,3,6,,,,936.0,1013.3,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,23.1,18.7,23.2,,13.6,55,,30,6,10,,,,935.8,1013.0,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,23.6,18.7,23.8,,13.5,53,,40,6,9,,,,935.8,1012.9,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,24.6,18.7,24.6,,13.8,51,,49,4,8,,,,935.7,1012.5,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,24.8,18.7,25.0,,13.4,49,,51,5,10,,,,935.4,1012.1,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,24.6,18.7,25.0,,13.5,50,,29,4,9,,,,935.1,1011.9,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,25.3,18.7,25.6,,13.6,48,,38,5,8,,,,934.9,1011.5,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,25.8,18.7,26.0,,14.3,49,,31,5,10,,,,934.6,1011.0,,,,,,,,,,,,
2024-12-01,6:45:00,,0.0,26.3,18.7,26.4,,14.8,49,,48,3,11,,,,934.2,1010.4,,,,,,,,,,,,
2024-12-01,7:00:00,,0.0,26.1,18.7,26.6,,14.9,50,,30,4,10,,,,934.0,1010.3,,,,,,,,,,,,
2024-12-01,7:15:00,,0.0,26.0,18.7,26.6,,14.8,50,,34,4,11,,,,933.7,1010.0,,,,,,,,,,,,
2024-12-01,7:30:00,,0.0,26.9,18.7,27.2,,14.7,47,,37,4,10,,,,933.3,1009.3,,,,,,,,,,,,
2024-12-01,7:45:00,,0.0,26.8,18.7,27.2,,15.3,49,,18,3,9,,,,933.0,1009.0,,,,,,,,,,,,
2024-12-01,8:00:00,,0.0,26.9,18.7,27.2,,15.3,49,,92,5,8,,,,932.8,1008.8,,,,,,,,,,,,
2024-12-01,8:15:00,,0.0,26.9,18.7,27.3,,15.0,48,,10,4,9,,,,932.5,1008.4,,,,,,,,,,,,
