DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,12.4,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,12.8,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,12.5,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,12.5,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,12.5,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,12.7,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,12.2,12.2,24.7,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,12.9,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,12.9,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,13.6,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,14.6,12.2,24.7,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,15.6,12.2,24.7,,,94,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,16.7,12.2,16.8,12.2,,90,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,17.5,16.8,17.6,,,79,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,18.9,16.8,19.0,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,20.3,16.8,20.3,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,21.6,16.8,21.7,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,22.7,16.8,22.8,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,23.1,16.8,23.4,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,23.6,16.8,23.8,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,23.8,16.8,23.9,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,24.1,16.8,24.3,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,24.7,16.8,24.8,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,24.7,16.8,25.0,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,24.6,16.8,25.0,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,24.9,16.8,25.1,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,25.2,16.8,25.3,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,18:45:00,,0.0,17.4,16.8,17.6,,,92,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:00:00,,0.0,17.5,16.8,17.8,,,93,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:15:00,,0.0,17.5,16.8,17.8,,,93,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:30:00,,0.0,17.1,16.8,17.8,,,94,,,,,,,,,,,,,,,,,,,,,
2024-12-01,19:45:00,,0.0,16.8,16.8,17.8,,,94,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:00:00,,0.0,17.1,16.8,17.8,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:15:00,,0.0,16.4,16.4,17.8,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:30:00,,0.0,16.7,16.3,17.8,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-01,20:45:00,,0.0,16.8,16.3,17.8,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:00:00,,0.0,16.5,16.3,17.8,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:15:00,,0.0,16.3,16.1,17.8,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:30:00,,0.0,16.6,16.1,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,21:45:00,,0.0,16.3,16.0,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:00:00,,0.0,16.6,16.0,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:15:00,,0.0,16.4,16.0,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:30:00,,0.0,16.5,16.0,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,22:45:00,,0.0,16.9,16.0,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,23:00:00,,0.0,17.3,16.0,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,23:15:00,,0.0,17.6,16.0,17.8,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,23:30:00,,0.0,17.7,16.0,17.9,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:00:00,,0.0,17.9,16.0,18.1,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:15:00,,0.0,18.0,16.0,18.1,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:30:00,,0.0,18.3,16.0,18.3,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-02,0:45:00,,0.0,18.3,16.0,18.3,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:00:00,,0.0,18.3,16.0,18.4,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:15:00,,0.0,18.0,16.0,18.4,,,95,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:30:00,,0.0,18.5,16.0,18.6,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-02,1:45:00,,0.0,18.5,16.0,18.6,,,96,,,,,,,,,,,,,,,,,,,,,
2024-12-02,2:00:00,,0.0,18.9,16.0,19.0,,,95,,,,,,,,,,,,,,,,,,,,,
