DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,16.8,16.3,25.6,,11.5,71,,314,4,5,,,,947.4,1012.5,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,16.9,16.3,25.6,,11.6,71,,321,1,5,,,,947.6,1012.7,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,16.2,16.2,25.6,,11.7,75,,279,2,3,,,,947.9,1013.1,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,16.5,16.2,25.6,,11.4,72,,309,3,5,,,,948.0,1013.2,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,16.5,16.2,25.6,,11.8,74,,297,2,5,,,,948.2,1013.4,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,15.9,16.0,25.6,,11.7,76,,303,2,3,,,,948.2,1013.5,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,16.1,16.0,25.6,,11.6,75,,284,2,3,,,,948.4,1013.7,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,16.6,16.0,25.6,,11.5,72,,306,3,5,,,,948.6,1013.8,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,17.1,16.0,25.6,,11.6,70,,296,4,5,,,,948.7,1013.8,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,18.1,16.0,25.6,,11.6,66,,314,3,5,,,,948.7,1013.6,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,18.9,16.0,25.6,,11.7,63,,326,4,9,,,,948.8,1013.5,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,19.6,16.0,25.6,,11.6,60,,325,5,8,,,,948.8,1013.3,,,,,,,,,,0.0,,
2024-12-01,3:00:00,,0.0,20.8,16.0,20.9,16.0,12.2,58,,327,3,5,,,,949.0,1013.3,,,,,,,,,,0.0,,
2024-12-01,3:15:00,,0.0,21.4,20.9,21.5,,12.3,56,,10,4,8,,,,949.1,1013.2,,,,,,,,,,0.0,,
2024-12-01,3:30:00,,0.0,21.8,20.9,21.9,,12.9,57,,12,4,7,,,,949.3,1013.4,,,,,,,,,,0.0,,
2024-12-01,3:45:00,,0.0,22.4,20.9,22.5,,13.2,56,,41,4,8,,,,949.3,1013.2,,,,,,,,,,0.0,,
2024-12-01,4:00:00,,0.0,22.9,20.9,23.0,,13.1,54,,53,5,8,,,,949.3,1013.1,,,,,,,,,,0.0,,
2024-12-01,4:15:00,,0.0,23.6,20.9,23.8,,12.9,51,,39,4,7,,,,949.3,1013.0,,,,,,,,,,0.0,,
