DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,12.8,12.7,22.3,,12.8,100,,238,1,2,,,,945.0,1011.8,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,12.9,12.7,22.3,,12.9,100,,201,1,2,,,,945.2,1012.0,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,12.8,12.7,22.3,,12.8,100,,185,0,1,,,,945.5,1012.3,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,12.9,12.7,22.3,,12.9,100,,159,1,1,,,,945.5,1012.3,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,13.0,12.7,22.3,,13.0,100,,196,1,2,,,,945.7,1012.5,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,13.1,12.7,22.3,,13.1,100,,205,1,1,,,,945.7,1012.5,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,13.1,12.7,22.3,,13.1,100,,180,0,1,,,,945.9,1012.7,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,13.2,12.7,22.3,,13.2,100,,189,0,2,,,,946.0,1012.8,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,13.5,12.7,22.3,,13.5,100,,210,1,1,,,,946.0,1012.7,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,14.0,12.7,22.3,,14.0,100,,191,1,1,,,,946.2,1012.8,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,14.8,12.7,22.3,,14.8,100,,232,0,2,,,,946.2,1012.6,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,16.2,12.7,22.3,,16.2,100,,236,0,1,,,,946.4,1012.5,,,,,,,,,,0.0,,
2024-12-01,3:00:00,,0.0,17.7,12.7,17.8,12.7,17.7,100,,244,1,1,,,,946.4,1012.1,,,,,,,,,,0.0,,
2024-12-01,3:15:00,,0.0,19.0,17.8,19.1,,19.0,100,,260,1,2,,,,946.5,1011.9,,,,,,,,,,0.0,,
2024-12-01,3:30:00,,0.0,19.9,17.8,20.0,,19.9,100,,164,0,2,,,,946.5,1011.7,,,,,,,,,,0.0,,
2024-12-01,3:45:00,,0.0,21.0,17.8,21.0,,21.0,100,,117,1,2,,,,946.7,1011.7,,,,,,,,,,0.0,,
2024-12-01,4:00:00,,0.0,22.0,17.8,22.0,,22.0,100,,199,1,2,,,,946.7,1011.5,,,,,,,,,,0.0,,
2024-12-01,4:15:00,,0.0,23.3,17.8,23.4,,23.3,100,,114,2,4,,,,946.7,1011.2,,,,,,,,,,0.0,,
2024-12-01,4:30:00,,0.0,23.4,17.8,23.6,,23.4,100,,99,2,6,,,,946.5,1010.9,,,,,,,,,,0.0,,
2024-12-01,4:45:00,,0.0,23.9,17.8,24.0,,23.9,100,,142,1,5,,,,946.7,1011.0,,,,,,,,,,0.0,,
2024-12-01,5:00:00,,0.0,24.6,17.8,24.7,,24.6,100,,145,1,7,,,,946.5,1010.7,,,,,,,,,,0.0,,
2024-12-01,5:15:00,,0.0,24.9,17.8,25.0,,24.9,100,,66,1,8,,,,946.2,1010.3,,,,,,,,,,0.0,,
2024-12-01,5:30:00,,0.0,25.1,17.8,25.1,,25.1,100,,86,1,7,,,,946.2,1010.2,,,,,,,,,,0.0,,
2024-12-01,5:45:00,,0.0,25.0,17.8,25.3,,25.0,100,,137,1,7,,,,945.9,1009.9,,,,,,,,,,0.0,,
2024-12-01,6:00:00,,0.0,25.2,17.8,25.6,,25.2,100,,52,2,6,,,,945.7,1009.7,,,,,,,,,,0.0,,
2024-12-01,6:15:00,,0.0,25.3,17.8,25.6,,24.7,97,,92,3,7,,,,945.5,1009.4,,,,,,,,,,0.0,,
2024-12-01,6:30:00,,0.0,25.8,17.8,26.0,,24.4,92,,103,3,6,,,,945.2,1009.0,,,,,,,,,,0.0,,
2024-12-01,6:45:00,,0.0,25.8,17.8,26.3,,25.8,100,,174,0,4,,,,944.7,1008.5,,,,,,,,,,0.0,,
2024-12-01,7:00:00,,0.0,26.1,17.8,26.3,,24.5,91,,93,2,6,,,,944.5,1008.2,,,,,,,,,,0.0,,
2024-12-01,7:15:00,,0.0,26.2,17.8,26.3,,25.3,95,,113,1,6,,,,944.2,1007.8,,,,,,,,,,0.0,,
2024-12-01,7:30:00,,0.0,26.4,17.8,26.8,,24.6,90,,108,1,6,,,,944.0,1007.6,,,,,,,,,,0.0,,
