DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,15.6,14.8,27.2,,12.7,83,,286,1,4,,,,943.2,1011.7,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,15.7,14.8,27.2,,12.8,83,,303,2,3,,,,943.5,1012.0,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,15.9,14.8,27.2,,13.0,83,,297,3,4,,,,943.7,1012.2,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,15.7,14.8,27.2,,12.8,83,,296,1,3,,,,943.7,1012.2,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,15.9,14.8,27.2,,12.8,82,,294,2,3,,,,943.9,1012.4,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,16.1,14.8,27.2,,13.2,83,,282,1,4,,,,944.0,1012.4,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,16.0,14.8,27.2,,12.9,82,,269,1,2,,,,944.2,1012.7,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,15.9,14.8,27.2,,12.8,82,,286,1,2,,,,944.0,1012.5,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,16.1,14.8,27.2,,12.6,80,,261,1,2,,,,944.2,1012.6,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,16.6,14.8,27.2,,13.1,80,,271,0,2,,,,944.4,1012.7,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,17.3,14.8,27.2,,13.6,79,,208,1,2,,,,944.5,1012.7,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,18.3,14.8,27.2,,14.4,78,,327,0,1,,,,944.7,1012.6,,,,,,,,,,0.0,,
2024-12-01,3:00:00,,0.0,19.2,14.8,19.3,14.8,14.2,73,,266,1,2,,,,944.9,1012.6,,,,,,,,,,0.0,,
2024-12-01,3:15:00,,0.0,20.3,19.3,20.4,,14.6,70,,315,1,2,,,,944.7,1012.2,,,,,,,,,,0.0,,
2024-12-01,3:30:00,,0.0,22.1,19.3,22.2,,15.2,65,,336,1,2,,,,944.9,1011.9,,,,,,,,,,0.0,,
2024-12-01,3:45:00,,0.0,23.3,19.3,23.4,,14.6,58,,293,2,3,,,,944.9,1011.7,,,,,,,,,,0.0,,
2024-12-01,4:00:00,,0.0,23.9,19.3,24.0,,14.9,57,,299,2,4,,,,944.9,1011.5,,,,,,,,,,0.0,,
2024-12-01,4:15:00,,0.0,24.5,19.3,24.6,,15.7,58,,294,2,3,,,,944.7,1011.2,,,,,,,,,,0.0,,
2024-12-01,4:30:00,,0.0,25.2,19.3,25.2,,15.6,55,,342,4,6,,,,944.7,1011.0,,,,,,,,,,0.0,,
2024-12-01,4:45:00,,0.0,26.2,19.3,26.3,,15.9,53,,331,5,7,,,,944.7,1010.8,,,,,,,,,,0.0,,
2024-12-01,5:00:00,,0.0,26.5,19.3,26.6,,15.6,51,,357,4,9,,,,944.7,1010.7,,,,,,,,,,0.0,,
2024-12-01,5:15:00,,0.0,27.0,19.3,27.1,,16.1,51,,354,4,8,,,,944.5,1010.4,,,,,,,,,,0.0,,
2024-12-01,5:30:00,,0.0,27.3,19.3,27.7,,15.7,49,,359,5,9,,,,944.2,1010.0,,,,,,,,,,0.0,,
2024-12-01,5:45:00,,0.0,27.4,19.3,27.7,,16.1,50,,12,4,9,,,,944.0,1009.8,,,,,,,,,,0.0,,
2024-12-01,6:00:00,,0.0,28.2,19.3,28.3,,16.5,49,,333,5,9,,,,943.7,1009.3,,,,,,,,,,0.0,,
2024-12-01,6:15:00,,0.0,28.6,19.3,28.7,,16.6,48,,357,4,10,,,,943.5,1009.0,,,,,,,,,,0.0,,
2024-12-01,6:30:00,,0.0,28.5,19.3,28.8,,16.8,49,,338,5,11,,,,943.2,1008.7,,,,,,,,,,0.0,,
2024-12-01,7:00:00,,0.0,29.1,19.3,30.0,,16.4,46,,12,6,10,,,,942.5,1007.8,,,,,,,,,,0.0,,
2024-12-01,7:15:00,,0.0,29.7,19.3,30.0,,17.3,47,,23,3,10,,,,942.2,1007.3,,,,,,,,,,0.0,,
2024-12-01,7:45:00,,0.0,30.4,19.3,30.9,,16.9,44,,55,3,6,,,,941.7,1006.6,,,,,,,,,,0.0,,
2024-12-01,8:00:00,,0.0,30.9,19.3,31.1,,17.3,44,,67,4,8,,,,941.4,1006.2,,,,,,,,,,0.0,,
2024-12-01,8:15:00,,0.0,30.5,19.3,31.1,,17.3,45,,85,4,8,,,,941.0,1005.9,,,,,,,,,,0.0,,
2024-12-01,8:30:00,,0.0,31.0,19.3,31.4,,17.4,44,,106,3,13,,,,940.7,1005.4,,,,,,,,,,0.0,,
2024-12-01,8:45:00,,0.0,30.5,19.3,31.4,,17.3,45,,86,5,10,,,,940.5,1005.3,,,,,,,,,,0.0,,
2024-12-01,9:00:00,,0.0,30.0,19.3,31.4,,17.5,47,,107,3,9,,,,940.4,1005.3,,,,,,,,,,0.0,,
2024-12-01,9:15:00,,0.0,29.8,19.3,31.4,,17.7,48,,93,5,8,,,,940.2,1005.2,,,,,,,,,,0.0,,
2024-12-01,9:30:00,,0.0,30.1,19.3,31.4,,18.0,48,,98,4,7,,,,940.0,1004.9,,,,,,,,,,0.0,,
2024-12-01,9:45:00,,0.0,30.5,19.3,31.4,,18.0,47,,75,5,8,,,,940.0,1004.8,,,,,,,,,,0.0,,
