DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,12.9,12.7,23.3,,12.7,99,,221,1,2,,,,938.0,1011.2,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,13.2,12.7,23.3,,13.0,99,,228,2,3,,,,938.0,1011.2,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,13.3,12.7,23.3,,13.1,99,,200,1,4,,,,938.2,1011.4,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,13.1,12.7,23.3,,12.9,99,,198,1,2,,,,938.5,1011.7,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,13.2,12.7,23.3,,13.0,99,,205,2,3,,,,938.7,1011.9,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,13.2,12.7,23.3,,13.0,99,,207,2,3,,,,938.7,1011.9,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,13.0,12.7,23.3,,12.8,99,,191,1,2,,,,938.7,1012.0,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,13.2,12.7,23.3,,13.0,99,,203,2,3,,,,938.7,1011.9,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,15.1,12.7,23.3,,14.7,98,,202,2,4,,,,938.9,1011.6,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,16.3,12.7,23.3,,15.3,94,,202,1,4,,,,939.0,1011.4,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,16.8,12.7,23.3,,14.9,89,,212,2,3,,,,939.2,1011.5,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,17.9,12.7,23.3,,16.4,91,,154,1,2,,,,939.4,1011.4,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,18.8,12.7,18.9,12.7,16.6,87,,127,1,3,,,,939.5,1011.3,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,19.9,18.9,20.0,,16.5,81,,108,1,4,,,,939.5,1011.0,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,20.5,18.9,20.7,,15.7,74,,90,1,5,,,,939.5,1010.9,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,21.5,18.9,21.6,,15.6,69,,93,2,5,,,,939.7,1010.9,,,,,,,,,,,,
