DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,12.2,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,12.3,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,12.3,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,12.3,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,12.3,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,12.5,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,12.4,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,12.3,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,12.4,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,12.7,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,13.4,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,13.9,12.1,22.1,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,14.6,12.1,14.6,12.1,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,15.1,14.6,15.3,,,100,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,16.3,14.6,16.3,,,99,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,17.3,14.6,17.4,,,97,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,18.4,14.6,18.5,,,92,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,19.4,14.6,19.5,,,87,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,20.3,14.6,20.4,,,80,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,22.2,14.6,22.4,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,22.8,14.6,22.9,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,23.5,14.6,23.6,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,24.0,14.6,24.2,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,24.8,14.6,24.9,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,25.1,14.6,25.3,,,65,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,25.4,14.6,25.6,,,64,,,,,,,,,,,,,,,,,,,,,
