DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,18.1,18.0,26.0,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,17.9,17.9,26.0,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,18.0,17.9,26.0,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,18.0,17.9,26.0,,,74,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,18.4,17.9,26.0,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,18.6,17.9,26.0,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,18.5,17.9,26.0,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,18.7,17.9,26.0,,,73,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,19.1,17.9,26.0,,,72,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,19.7,17.9,26.0,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,20.3,17.9,26.0,,,68,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,21.3,17.9,26.0,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,22.0,17.9,22.0,17.9,,64,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,22.8,22.0,22.9,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,23.2,22.0,23.3,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,23.6,22.0,23.7,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,23.6,22.0,23.9,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,24.2,22.0,24.2,,,61,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,24.9,22.0,25.1,,,60,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,25.8,22.0,25.9,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,26.2,22.0,26.4,,,56,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,27.2,22.0,27.3,,,55,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,27.4,22.0,27.4,,,55,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,28.1,22.0,28.2,,,52,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:00:00,,0.0,29.1,22.0,29.1,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,29.0,22.0,29.6,,,51,,,,,,,,,,,,,,,,,,,,,
