DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,18.1,18.2,25.9,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:15:00,,0.0,18.2,18.0,25.9,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:30:00,,0.0,18.0,18.0,25.9,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-01,0:45:00,,0.0,18.1,18.0,25.9,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:00:00,,0.0,18.1,18.0,25.9,,,70,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:15:00,,0.0,18.2,18.0,25.9,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:30:00,,0.0,18.2,18.0,25.9,,,68,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1:45:00,,0.0,18.0,18.0,25.9,,,69,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:00:00,,0.0,18.3,18.0,25.9,,,67,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:15:00,,0.0,18.8,18.0,25.9,,,66,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:30:00,,0.0,19.1,18.0,25.9,,,63,,,,,,,,,,,,,,,,,,,,,
2024-12-01,2:45:00,,0.0,19.5,18.0,25.9,,,62,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:00:00,,0.0,20.5,18.0,20.5,18.0,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:15:00,,0.0,20.7,20.5,20.9,,,57,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:30:00,,0.0,22.0,20.5,22.2,,,53,,,,,,,,,,,,,,,,,,,,,
2024-12-01,3:45:00,,0.0,22.8,20.5,23.1,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:00:00,,0.0,22.3,20.5,23.1,,,52,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:15:00,,0.0,22.5,20.5,23.1,,,51,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:30:00,,0.0,23.2,20.5,23.4,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,4:45:00,,0.0,23.3,20.5,23.4,,,50,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:00:00,,0.0,23.7,20.5,24.1,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:15:00,,0.0,24.0,20.5,24.1,,,49,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:30:00,,0.0,23.9,20.5,24.6,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,5:45:00,,0.0,24.6,20.5,24.8,,,47,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:15:00,,0.0,24.9,20.5,25.3,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:30:00,,0.0,25.1,20.5,25.3,,,47,,,,,,,,,,,,,,,,,,,,,
2024-12-01,6:45:00,,0.0,25.0,20.5,25.3,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:00:00,,0.0,25.1,20.5,25.3,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:15:00,,0.0,25.8,20.5,25.8,,,47,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:30:00,,0.0,25.7,20.5,26.0,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,7:45:00,,0.0,25.7,20.5,26.0,,,48,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:00:00,,0.0,25.9,20.5,26.1,,,47,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:15:00,,0.0,26.7,20.5,27.0,,,45,,,,,,,,,,,,,,,,,,,,,
2024-12-01,8:30:00,,0.0,26.7,20.5,27.1,,,45,,,,,,,,,,,,,,,,,,,,,
