DATE,TIME(UTC),RAIN_HOURLY(mm),RAIN_DAILY(mm),TEMP(C),TEMP_MIN(C),TEMP_MAX(C),TEMP_MIN_MAX_DAY(C),DEW_POINT(C),RH(%),RH_MIN_MAX_DAY(%),WIND_DIR_10m(deg),WIND_SPEED_10m(kt),WIND_MAX/GUST_10m(kt),WIND_DIR_3m(deg),WIND_SPEED_3m(kt),WIND_MAX/GUST_3m(kt),SLP(hPa),MSLP(hPa),SUNSHINE(HH:MM),SOIL_TEMP_10cm(C),SOIL_MOIS_10cm(m3/m3),SOIL_TEMP_30cm(C),SOIL_MOIS_30cm(m3/m3),SOIL_TEMP_70cm(C),SOIL_MOIS_70cm(m3/m3),SOIL_TEMP_100cm(C),SOIL_MOIS_100cm(m3/m3),GLOBAL_RADIATION(v/m2),PAR(micro-mole/m2s),
2024-12-01,0:00:00,,0.0,16.5,15.7,25.2,,,79,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,0:15:00,,0.0,16.1,15.7,25.2,,,82,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,0:30:00,,0.0,16.1,15.7,25.2,,,82,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,0:45:00,,0.0,15.8,15.7,25.2,,,85,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:00:00,,0.0,15.7,15.7,25.2,,,86,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:15:00,,0.0,16.0,15.7,25.2,,,85,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:30:00,,0.0,16.7,15.7,25.2,,,79,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,1:45:00,,0.0,16.1,15.7,25.2,,,82,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:00:00,,0.0,16.7,15.7,25.2,,,82,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:15:00,,0.0,17.9,15.7,25.2,,,74,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:30:00,,0.0,20.1,15.7,25.2,,,66,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,2:45:00,,0.0,20.1,15.7,25.2,,,65,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,3:00:00,,0.0,20.4,15.7,20.4,15.7,,64,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,3:15:00,,0.0,21.9,20.4,22.0,,,61,,,,,,,,,,,,,,,,,,,0.0,,
2024-12-01,3:30:00,,0.0,23.4,20.4,23.5,,,53,,,,,,,,,,,,,,,,,,,0.0,,
