DATETIME,RAIN_DAILY(mm),TEMP(C),RH(%)
2024-12-01 00:00:00,0.0,14.9,92
2024-12-01 00:15:00,0.0,14.9,92
2024-12-01 00:30:00,0.0,14.8,92
2024-12-01 00:45:00,0.0,15.0,92
2024-12-01 01:00:00,0.0,14.9,92
2024-12-01 01:15:00,0.0,15.2,92
2024-12-01 01:30:00,0.0,15.1,92
2024-12-01 01:45:00,0.0,15.2,92
2024-12-01 02:00:00,0.0,15.5,92
2024-12-01 02:15:00,0.0,15.9,92
2024-12-01 02:30:00,0.0,16.8,92
2024-12-01 02:45:00,0.0,18.0,90
2024-12-01 03:00:00,0.0,19.6,84
2024-12-01 03:15:00,0.0,21.2,70
2024-12-01 03:30:00,0.0,22.4,62
2024-12-01 03:45:00,0.0,23.1,60
2024-12-01 04:00:00,0.0,23.8,56
2024-12-01 04:15:00,0.0,24.6,55
2024-12-01 04:30:00,0.0,25.2,52
2024-12-01 04:45:00,0.0,25.0,52
2024-12-01 05:00:00,0.0,25.6,52
2024-12-01 05:15:00,0.0,26.0,51
2024-12-01 05:30:00,0.0,26.4,50
2024-12-01 05:45:00,0.0,26.3,51
2024-12-01 06:00:00,0.0,26.3,51
2024-12-01 06:15:00,0.0,26.5,50
2024-12-01 06:30:00,0.0,26.6,52
2024-12-01 06:45:00,0.0,26.9,50
2024-12-01 07:00:00,0.0,26.9,51
2024-12-01 07:15:00,0.0,27.0,50
2024-12-01 07:30:00,0.0,27.1,50
2024-12-01 07:45:00,0.0,27.1,51
2024-12-01 08:00:00,0.0,27.5,50
2024-12-01 08:15:00,0.0,27.9,50
2024-12-01 08:30:00,0.0,28.2,49
2024-12-01 08:45:00,0.0,28.8,48
2024-12-01 09:00:00,0.0,29.1,46
2024-12-01 09:15:00,0.0,29.4,46
2024-12-01 09:30:00,0.0,29.2,46
2024-12-01 09:45:00,0.0,29.3,46
2024-12-01 10:00:00,0.0,29.2,47
2024-12-01 10:15:00,0.0,29.4,47
2024-12-01 10:30:00,0.0,29.5,46
2024-12-01 10:45:00,0.0,29.4,47
2024-12-01 11:00:00,0.0,28.8,49
2024-12-01 11:15:00,0.0,29.0,49
2024-12-01 11:30:00,0.0,28.8,50
2024-12-01 11:45:00,0.0,28.4,52
2024-12-01 12:00:00,0.0,27.3,57
2024-12-01 12:15:00,0.0,26.5,61
2024-12-01 12:30:00,0.0,26.0,63
2024-12-01 12:45:00,0.0,25.4,66
2024-12-01 13:00:00,0.0,24.6,69
2024-12-01 13:15:00,0.0,24.0,71
2024-12-01 13:30:00,0.0,23.5,73
2024-12-01 13:45:00,0.0,23.0,73
2024-12-01 14:00:00,0.0,22.8,75
2024-12-01 14:15:00,0.0,22.5,76
2024-12-01 14:30:00,0.0,22.4,76
2024-12-01 14:45:00,0.0,22.4,77
2024-12-01 15:00:00,0.0,22.3,77
2024-12-01 15:15:00,0.0,22.2,77
2024-12-01 15:30:00,0.0,22.1,78
2024-12-01 15:45:00,0.0,22.0,77
2024-12-01 16:00:00,0.0,22.3,77
2024-12-01 16:15:00,0.0,22.3,77
2024-12-01 16:30:00,0.0,22.5,77
2024-12-01 16:45:00,0.0,22.6,76
2024-12-01 17:00:00,0.0,22.8,76
2024-12-01 17:15:00,0.0,22.8,75
2024-12-01 17:30:00,0.0,22.6,76
2024-12-01 17:45:00,0.0,22.0,78
2024-12-01 18:00:00,0.0,21.5,79
2024-12-01 18:15:00,0.0,21.1,81
2024-12-01 18:30:00,0.0,20.8,84
2024-12-01 18:45:00,0.0,20.4,85
2024-12-01 19:00:00,0.0,20.2,87
2024-12-01 19:15:00,0.0,19.9,88
2024-12-01 19:30:00,0.0,19.7,89
2024-12-01 19:45:00,0.0,19.7,89
2024-12-01 20:00:00,0.0,19.3,89
2024-12-01 20:15:00,0.0,19.3,90
2024-12-01 20:30:00,0.0,19.3,91
2024-12-01 20:45:00,0.0,19.0,91
2024-12-01 21:00:00,0.0,18.8,91
2024-12-01 21:15:00,0.0,18.8,92
2024-12-01 21:30:00,0.0,18.7,92
2024-12-01 21:45:00,0.0,18.6,92
2024-12-01 22:00:00,0.0,18.8,93
2024-12-01 22:15:00,0.0,18.8,93
2024-12-01 22:30:00,0.0,18.8,93
2024-12-01 22:45:00,0.0,18.7,93
2024-12-01 23:00:00,0.0,18.9,93
2024-12-01 23:15:00,0.0,19.2,93
2024-12-01 23:30:00,0.0,19.4,93
2024-12-02 00:00:00,0.0,19.5,92
2024-12-02 00:15:00,0.0,19.6,92
2024-12-02 00:30:00,0.0,19.8,92
2024-12-02 00:45:00,0.0,19.9,92
2024-12-02 01:00:00,0.0,20.0,91
2024-12-02 01:15:00,0.0,20.2,91
2024-12-02 01:45:00,0.0,20.7,89
2024-12-02 02:00:00,0.0,20.9,89
2024-12-02 02:15:00,0.0,21.3,87
2024-12-02 02:30:00,0.0,22.0,85
2024-12-02 03:00:00,0.0,24.2,73
2024-12-02 03:15:00,0.0,25.1,69
2024-12-02 03:30:00,0.0,24.9,69
2024-12-02 03:45:00,0.0,25.0,69
2024-12-02 04:00:00,0.0,25.4,67
2024-12-02 04:15:00,0.0,25.8,67
2024-12-02 04:30:00,0.0,26.3,65
2024-12-02 04:45:00,0.0,26.5,64
2024-12-02 05:00:00,0.0,26.8,64
2024-12-02 05:15:00,0.0,27.5,63
2024-12-02 05:30:00,0.0,27.3,63
2024-12-02 05:45:00,0.0,26.9,65
2024-12-02 06:15:00,0.0,27.0,64
2024-12-02 06:30:00,0.0,27.2,64
2024-12-02 06:45:00,0.0,27.3,64
2024-12-02 07:00:00,0.0,28.0,62
2024-12-02 07:15:00,0.0,28.4,61
2024-12-02 07:45:00,0.0,28.8,60
2024-12-02 08:00:00,0.0,28.9,60
2024-12-02 08:15:00,0.0,29.2,57
2024-12-02 08:30:00,0.0,29.7,55
2024-12-02 09:00:00,0.0,29.4,57
2024-12-02 09:15:00,0.0,29.6,56
2024-12-02 09:30:00,0.0,30.0,56
2024-12-02 09:45:00,0.0,30.5,54
2024-12-02 10:15:00,0.0,30.3,55
2024-12-02 10:30:00,0.0,30.3,54
2024-12-02 10:45:00,0.0,30.1,54
2024-12-02 11:00:00,0.0,29.6,57
2024-12-02 11:15:00,0.0,29.3,57
2024-12-02 11:30:00,0.0,28.9,59
2024-12-02 11:45:00,0.0,28.7,60
2024-12-02 12:00:00,0.0,28.6,60
2024-12-02 12:15:00,0.0,28.2,61
2024-12-02 12:30:00,0.0,28.1,62
2024-12-02 12:45:00,0.0,27.8,63
2024-12-02 13:00:00,0.0,27.5,65
2024-12-02 13:15:00,0.0,26.9,67
2024-12-02 13:30:00,0.0,26.5,70
2024-12-02 13:45:00,0.0,26.4,69
2024-12-02 14:00:00,0.0,26.1,71
2024-12-02 14:15:00,0.0,25.6,74
2024-12-02 14:30:00,0.0,25.4,74
