DATETIME,RAIN_DAILY(mm),TEMP(C),RH(%)
2024-12-01 00:00:00,0.0,15.0,95
2024-12-01 00:15:00,0.0,15.0,95
2024-12-01 00:30:00,0.0,15.4,93
2024-12-01 00:45:00,0.0,15.0,96
2024-12-01 01:00:00,0.0,14.9,95
2024-12-01 01:30:00,0.0,14.7,96
2024-12-01 01:45:00,0.0,14.6,98
2024-12-01 02:00:00,0.0,14.6,98
2024-12-01 02:15:00,0.0,15.3,96
2024-12-01 02:30:00,0.0,15.9,95
2024-12-01 02:45:00,0.0,16.2,93
2024-12-01 03:00:00,0.0,17.2,93
2024-12-01 03:15:00,0.0,18.2,89
2024-12-01 03:30:00,0.0,19.1,84
2024-12-01 03:45:00,0.0,20.2,79
2024-12-01 04:00:00,0.0,21.0,73
2024-12-01 04:15:00,0.0,21.6,67
2024-12-01 04:30:00,0.0,22.5,59
2024-12-01 04:45:00,0.0,23.3,55
2024-12-01 05:00:00,0.0,24.0,54
2024-12-01 05:15:00,0.0,24.0,57
2024-12-01 05:30:00,0.0,23.9,55
2024-12-01 05:45:00,0.0,24.8,55
2024-12-01 06:00:00,0.0,24.7,53
2024-12-01 06:15:00,0.0,24.5,54
2024-12-01 06:30:00,0.0,25.4,51
2024-12-01 06:45:00,0.0,25.7,52
2024-12-01 07:00:00,0.0,25.2,52
2024-12-01 07:15:00,0.0,25.6,54
2024-12-01 07:30:00,0.0,26.1,51
2024-12-01 07:45:00,0.0,26.1,52
2024-12-01 08:00:00,0.0,26.1,52
2024-12-01 08:15:00,0.0,26.8,50
2024-12-01 08:30:00,0.0,27.0,52
2024-12-01 08:45:00,0.0,26.8,50
2024-12-01 09:00:00,0.0,27.2,50
2024-12-01 09:15:00,0.0,27.5,50
2024-12-01 09:30:00,0.0,26.9,51
2024-12-01 09:45:00,0.0,26.5,54
2024-12-01 10:00:00,0.0,26.5,53
2024-12-01 10:15:00,0.0,27.1,51
2024-12-01 10:30:00,0.0,27.4,54
2024-12-01 10:45:00,0.0,26.7,58
2024-12-01 11:00:00,0.0,25.0,64
2024-12-01 11:15:00,0.0,23.8,73
2024-12-01 11:30:00,0.0,23.3,73
2024-12-01 11:45:00,0.0,23.2,72
2024-12-01 12:00:00,0.0,22.5,78
2024-12-01 12:15:00,0.0,21.8,78
2024-12-01 12:30:00,0.0,21.3,82
2024-12-01 13:00:00,0.0,20.7,84
2024-12-01 13:15:00,0.0,20.3,85
2024-12-01 13:30:00,0.0,19.9,88
2024-12-01 13:45:00,0.0,19.7,88
2024-12-01 14:00:00,0.0,19.8,89
2024-12-01 14:15:00,0.0,19.9,86
2024-12-01 14:30:00,0.0,19.6,90
2024-12-01 14:45:00,0.0,19.4,91
2024-12-01 15:00:00,0.0,19.2,92
2024-12-01 15:15:00,0.0,19.0,93
2024-12-01 15:30:00,0.0,19.2,93
2024-12-01 15:45:00,0.0,18.9,94
2024-12-01 16:00:00,0.0,19.0,94
2024-12-01 16:15:00,0.0,18.9,95
2024-12-01 16:30:00,0.0,18.9,96
2024-12-01 16:45:00,0.0,18.8,96
2024-12-01 17:00:00,0.0,18.9,96
2024-12-01 17:15:00,0.0,18.8,96
2024-12-01 17:30:00,0.0,19.1,95
2024-12-01 17:45:00,0.0,18.9,96
2024-12-01 18:00:00,0.0,18.8,97
2024-12-01 18:15:00,0.0,18.8,98
2024-12-01 18:30:00,0.0,19.0,95
2024-12-01 18:45:00,0.0,18.8,97
2024-12-01 19:00:00,0.0,18.5,99
2024-12-01 19:15:00,0.0,18.6,99
2024-12-01 19:30:00,0.0,18.7,99
2024-12-01 19:45:00,0.0,18.7,100
2024-12-01 20:00:00,0.0,19.0,97
2024-12-01 20:15:00,0.0,18.8,97
2024-12-01 20:30:00,0.0,18.8,98
2024-12-01 20:45:00,0.0,19.2,96
2024-12-01 21:00:00,0.0,19.2,96
2024-12-01 21:15:00,0.0,19.1,97
2024-12-01 21:30:00,0.0,19.3,95
2024-12-01 21:45:00,0.0,18.7,98
2024-12-01 22:00:00,0.0,18.7,99
2024-12-01 22:15:00,0.0,18.6,100
2024-12-01 22:30:00,0.0,18.4,100
2024-12-01 22:45:00,0.0,18.4,100
2024-12-01 23:00:00,0.0,18.5,100
2024-12-01 23:15:00,0.0,18.7,100
2024-12-01 23:30:00,0.0,18.8,100
2024-12-01 23:45:00,0.0,18.6,100
2024-12-02 00:00:00,0.0,19.2,100
2024-12-02 00:15:00,0.0,20.1,92
2024-12-02 00:30:00,0.0,19.6,96
2024-12-02 00:45:00,0.0,19.2,99
2024-12-02 01:00:00,0.0,18.8,100
2024-12-02 01:30:00,0.0,20.8,84
2024-12-02 01:45:00,0.0,21.0,82
2024-12-02 02:00:00,0.0,21.3,81
2024-12-02 02:15:00,0.0,21.5,80
2024-12-02 02:30:00,0.0,21.8,80
2024-12-02 02:45:00,0.0,21.9,78
2024-12-02 03:00:00,0.0,22.1,78
2024-12-02 03:15:00,0.0,23.1,76
2024-12-02 03:30:00,0.0,24.1,70
2024-12-02 03:45:00,0.0,24.6,69
2024-12-02 04:00:00,0.0,25.2,67
2024-12-02 04:15:00,0.0,25.6,65
2024-12-02 04:30:00,0.0,25.8,64
2024-12-02 04:45:00,0.0,25.3,68
2024-12-02 05:30:00,0.0,25.8,66
2024-12-02 06:00:00,0.0,26.0,65
2024-12-02 06:15:00,0.0,26.2,64
2024-12-02 06:30:00,0.0,25.6,66
2024-12-02 06:45:00,0.0,26.9,61
2024-12-02 07:00:00,0.0,26.4,64
2024-12-02 07:15:00,0.0,26.6,62
2024-12-02 07:30:00,0.0,26.8,62
2024-12-02 07:45:00,0.0,26.6,63
2024-12-02 08:00:00,0.0,26.9,61
2024-12-02 08:15:00,0.0,27.1,61
2024-12-02 08:30:00,0.0,27.1,60
2024-12-02 08:45:00,0.0,28.2,57
2024-12-02 09:00:00,0.0,27.6,57
2024-12-02 09:15:00,0.0,27.0,62
2024-12-02 09:30:00,0.0,27.2,61
2024-12-02 09:45:00,0.0,27.1,61
2024-12-02 10:00:00,0.0,27.6,60
2024-12-02 10:15:00,0.0,27.6,59
2024-12-02 10:30:00,0.0,27.0,60
2024-12-02 10:45:00,0.0,27.4,59
2024-12-02 11:00:00,0.0,27.0,60
2024-12-02 11:15:00,0.0,26.8,61
2024-12-02 11:30:00,0.0,26.1,68
2024-12-02 11:45:00,0.0,25.6,69
2024-12-02 12:00:00,0.0,24.9,72
2024-12-02 12:15:00,0.0,24.1,78
2024-12-02 12:30:00,0.0,23.5,81
2024-12-02 12:45:00,0.0,23.4,81
2024-12-02 13:00:00,0.0,22.8,85
2024-12-02 13:15:00,0.0,22.3,88
2024-12-02 13:30:00,0.0,22.1,89
2024-12-02 13:45:00,0.0,22.8,84
2024-12-02 14:00:00,0.0,22.0,89
2024-12-02 14:15:00,0.0,22.0,90
2024-12-02 14:30:00,0.0,22.1,90
2024-12-02 14:45:00,0.0,22.6,87
2024-12-02 15:00:00,0.0,22.4,88
2024-12-02 15:15:00,0.0,22.7,87
2024-12-02 15:30:00,0.0,24.0,77
2024-12-02 15:45:00,0.0,23.9,78
2024-12-02 16:00:00,0.0,23.9,78
2024-12-02 16:15:00,0.0,24.4,74
2024-12-02 16:30:00,0.0,23.5,80
2024-12-02 16:45:00,0.0,23.8,78
2024-12-02 17:00:00,0.0,24.1,77
2024-12-02 17:15:00,0.0,23.6,80
2024-12-02 17:30:00,0.0,22.9,85
2024-12-02 17:45:00,0.0,22.9,86
2024-12-02 18:00:00,0.0,23.0,85
2024-12-02 18:15:00,0.0,23.3,82
2024-12-02 18:30:00,0.0,22.7,88
2024-12-02 18:45:00,0.0,22.9,85
2024-12-02 19:00:00,0.0,23.5,80
2024-12-02 19:15:00,0.0,23.0,84
2024-12-02 19:30:00,0.0,23.1,84
2024-12-02 19:45:00,0.0,23.1,83
2024-12-02 20:00:00,0.0,23.2,82
2024-12-02 20:15:00,0.0,23.1,83
2024-12-02 20:30:00,0.0,23.2,83
2024-12-02 20:45:00,0.0,23.3,82
2024-12-02 21:00:00,0.0,23.2,82
2024-12-02 21:15:00,0.0,23.2,82
2024-12-02 21:30:00,0.0,23.1,82
2024-12-02 21:45:00,0.0,23.2,80
2024-12-02 22:00:00,0.0,23.2,79
2024-12-02 22:15:00,0.0,23.1,79
2024-12-02 22:30:00,0.0,22.9,80
2024-12-02 22:45:00,0.0,22.7,81
2024-12-02 23:00:00,0.0,22.8,81
2024-12-02 23:15:00,0.0,22.6,81
2024-12-02 23:30:00,0.0,22.6,82
2024-12-02 23:45:00,0.0,22.6,82
2024-12-03 00:00:00,0.0,22.6,83
2024-12-03 00:15:00,0.0,22.4,83
2024-12-03 00:30:00,0.0,22.4,84
2024-12-03 00:45:00,0.0,22.3,85
2024-12-03 01:00:00,0.0,22.1,86
2024-12-03 01:15:00,0.0,22.3,86
