DATETIME,RAIN_DAILY(mm),TEMP(C),RH(%)
2024-12-01 00:00:00,0.0,17.7,93.0
2024-12-01 00:15:00,0.0,16.0,91.0
2024-12-01 00:30:00,0.0,16.1,93.0
2024-12-01 00:45:00,0.0,16.1,94.0
2024-12-01 01:00:00,0.0,16.1,94.0
2024-12-01 01:15:00,0.0,17.4,94.0
2024-12-01 01:30:00,0.0,16.2,93.0
2024-12-01 01:45:00,0.0,17.6,95.0
2024-12-01 02:00:00,0.0,18.1,94.0
2024-12-01 02:15:00,0.0,17.1,90.0
2024-12-01 02:30:00,0.0,17.8,88.0
2024-12-01 02:45:00,0.0,18.8,84.0
2024-12-01 03:00:00,0.0,19.9,74.0
2024-12-01 03:15:00,0.0,21.0,63.0
2024-12-01 03:30:00,0.0,24.5,62.0
2024-12-01 03:45:00,0.0,22.5,58.0
2024-12-01 04:00:00,0.0,23.3,55.0
2024-12-01 04:15:00,0.0,23.9,53.0
2024-12-01 04:30:00,0.0,25.2,49.0
2024-12-01 04:45:00,0.0,25.2,50.0
2024-12-01 05:00:00,0.0,25.4,48.0
2024-12-01 05:15:00,0.0,26.1,47.0
2024-12-01 05:30:00,0.0,26.0,49.0
2024-12-01 05:45:00,0.0,26.1,48.0
2024-12-01 06:00:00,0.0,27.3,50.0
2024-12-01 06:15:00,0.0,26.6,49.0
2024-12-01 06:30:00,0.0,26.3,47.0
2024-12-01 06:45:00,0.0,26.6,48.0
2024-12-01 07:00:00,0.0,29.0,50.0
2024-12-01 07:15:00,0.0,28.8,48.0
2024-12-01 07:30:00,0.0,28.7,47.0
2024-12-01 07:45:00,0.0,28.7,49.0
2024-12-01 08:00:00,0.0,28.4,48.0
2024-12-01 08:15:00,0.0,28.4,49.0
2024-12-01 08:30:00,0.0,26.6,48.0
2024-12-01 08:45:00,0.0,28.2,46.0
2024-12-01 09:00:00,0.0,28.1,47.0
2024-12-01 09:15:00,0.0,27.3,46.0
2024-12-01 09:30:00,0.0,28.7,45.0
2024-12-01 09:45:00,0.0,28.2,45.0
2024-12-01 10:00:00,0.0,28.7,44.0
2024-12-01 10:15:00,0.0,30.4,45.0
2024-12-01 10:30:00,0.0,30.4,46.0
2024-12-01 10:45:00,0.0,29.6,45.0
2024-12-01 11:00:00,0.0,28.1,47.0
2024-12-01 11:15:00,0.0,28.1,47.0
2024-12-01 11:30:00,0.0,28.0,47.0
2024-12-01 11:45:00,0.0,27.6,49.0
2024-12-01 12:00:00,0.0,28.9,51.0
2024-12-01 12:15:00,0.0,27.2,53.0
2024-12-01 12:30:00,0.0,26.9,52.0
2024-12-01 12:45:00,0.0,26.7,54.0
2024-12-01 13:00:00,0.0,26.2,57.0
2024-12-01 13:15:00,0.0,26.0,56.0
2024-12-01 13:30:00,0.0,25.3,59.0
2024-12-01 13:45:00,0.0,26.2,60.0
2024-12-01 14:00:00,0.0,25.0,58.0
2024-12-01 14:15:00,0.0,25.0,58.0
2024-12-01 14:30:00,0.0,24.8,59.0
2024-12-01 14:45:00,0.0,24.7,60.0
2024-12-01 15:00:00,0.0,25.2,58.0
2024-12-01 15:15:00,0.0,26.5,60.0
2024-12-01 15:30:00,0.0,25.9,60.0
2024-12-01 15:45:00,0.0,25.6,62.0
2024-12-01 16:00:00,0.0,26.7,65.0
2024-12-01 16:15:00,0.0,24.8,61.0
2024-12-01 16:30:00,0.0,24.7,62.0
2024-12-01 16:45:00,0.0,24.3,63.0
2024-12-01 17:00:00,0.0,24.0,64.0
2024-12-01 17:15:00,0.0,23.9,65.0
2024-12-01 17:30:00,0.0,23.3,70.0
2024-12-01 17:45:00,0.0,22.4,75.0
2024-12-01 18:00:00,0.0,23.3,79.0
2024-12-01 18:15:00,0.0,21.4,82.0
2024-12-01 18:30:00,0.0,21.4,83.0
2024-12-01 18:45:00,0.0,21.2,84.0
2024-12-01 19:00:00,0.0,21.1,85.0
2024-12-01 19:15:00,0.0,21.0,86.0
2024-12-01 19:30:00,0.0,22.1,88.0
2024-12-01 19:45:00,0.0,20.8,87.0
2024-12-01 20:00:00,0.0,22.7,86.0
2024-12-01 20:15:00,0.0,22.9,85.0
2024-12-01 20:30:00,0.0,21.2,81.0
2024-12-01 20:45:00,0.0,20.9,85.0
2024-12-01 21:00:00,0.0,20.6,86.0
2024-12-01 21:15:00,0.0,20.5,87.0
2024-12-01 21:30:00,0.0,20.6,88.0
2024-12-01 21:45:00,0.0,20.4,88.0
2024-12-01 22:00:00,0.0,20.0,91.0
2024-12-01 22:15:00,0.0,19.5,94.0
2024-12-01 22:30:00,0.0,19.8,94.0
2024-12-01 22:45:00,0.0,20.0,94.0
2024-12-01 23:00:00,0.0,21.4,95.0
2024-12-01 23:15:00,0.0,20.4,92.0
2024-12-01 23:30:00,0.0,22.1,92.0
2024-12-01 23:45:00,0.0,22.4,90.0
2024-12-02 00:00:00,0.0,23.1,89.0
2024-12-02 00:15:00,0.0,20.7,87.0
2024-12-02 00:30:00,0.0,23.1,89.0
2024-12-02 00:45:00,0.0,22.3,90.0
2024-12-02 01:00:00,0.0,20.8,87.0
2024-12-02 01:15:00,0.0,21.0,91.0
2024-12-02 01:30:00,0.0,21.0,90.0
2024-12-02 01:45:00,0.0,20.9,87.0
2024-12-02 02:00:00,0.0,21.3,88.0
2024-12-02 02:15:00,0.0,21.6,85.0
2024-12-02 02:30:00,0.0,22.1,84.0
2024-12-02 02:45:00,0.0,24.5,74.0
2024-12-02 03:00:00,0.0,25.3,71.0
2024-12-02 03:15:00,0.0,27.2,67.0
2024-12-02 03:30:00,0.0,27.7,67.0
2024-12-02 03:45:00,0.0,26.0,65.0
2024-12-02 04:00:00,0.0,24.8,65.0
2024-12-02 04:15:00,0.0,25.5,64.0
2024-12-02 04:30:00,0.0,26.7,66.0
2024-12-02 04:45:00,0.0,25.4,64.0
2024-12-02 05:00:00,0.0,26.4,62.0
2024-12-02 05:30:00,0.0,30.2,60.0
2024-12-02 06:00:00,0.0,27.2,59.0
2024-12-02 06:15:00,0.0,27.7,57.0
2024-12-02 06:30:00,0.0,27.0,59.0
2024-12-02 06:45:00,0.0,27.4,59.0
2024-12-02 07:00:00,0.0,28.0,55.0
2024-12-02 07:15:00,0.0,30.0,56.0
2024-12-02 07:30:00,0.0,30.4,54.0
2024-12-02 07:45:00,0.0,29.4,52.0
2024-12-02 08:00:00,0.0,29.5,57.0
2024-12-02 08:15:00,0.0,28.6,54.0
2024-12-02 08:30:00,0.0,28.9,55.0
2024-12-02 08:45:00,0.0,29.0,53.0
2024-12-02 09:00:00,0.0,28.7,53.0
2024-12-02 09:15:00,0.0,29.4,52.0
2024-12-02 09:30:00,0.0,29.1,55.0
2024-12-02 09:45:00,0.0,28.9,53.0
2024-12-02 10:00:00,0.0,29.0,52.0
2024-12-02 10:15:00,0.0,29.3,52.0
2024-12-02 10:30:00,0.0,28.9,52.0
2024-12-02 10:45:00,0.0,29.1,53.0
2024-12-02 11:00:00,0.0,30.4,54.0
2024-12-02 11:15:00,0.0,30.2,56.0
2024-12-02 11:30:00,0.0,29.9,57.0
2024-12-02 11:45:00,0.0,30.4,58.0
2024-12-02 12:00:00,0.0,27.9,57.0
2024-12-02 12:15:00,0.0,27.8,59.0
2024-12-02 12:30:00,0.0,27.6,58.0
2024-12-02 12:45:00,0.0,27.2,60.0
2024-12-02 13:00:00,0.0,27.3,60.0
2024-12-02 13:15:00,0.0,28.9,62.0
2024-12-02 13:30:00,0.0,27.1,62.0
2024-12-02 13:45:00,0.0,27.0,62.0
2024-12-02 14:00:00,0.0,26.9,62.0
2024-12-02 14:15:00,0.0,26.9,64.0
2024-12-02 14:30:00,0.0,26.9,63.0
2024-12-02 14:45:00,0.0,26.8,64.0
2024-12-02 15:00:00,0.0,27.9,66.0
2024-12-02 15:15:00,0.0,27.8,66.0
2024-12-02 15:30:00,0.0,26.3,66.0
2024-12-02 15:45:00,0.0,26.1,66.0
2024-12-02 16:00:00,0.0,25.8,68.0
2024-12-02 16:15:00,0.0,25.4,70.0
2024-12-02 16:30:00,0.0,25.2,71.0
2024-12-02 16:45:00,0.0,26.3,73.0
