DATETIME,RAIN_DAILY(mm),TEMP(C),RH(%)
2024-12-01 00:00:00,0.0,18.7,100
2024-12-01 00:15:00,0.0,19.0,100
2024-12-01 00:30:00,0.0,19.0,100
2024-12-01 00:45:00,0.0,19.0,100
2024-12-01 01:00:00,0.0,19.0,100
2024-12-01 01:15:00,0.0,19.0,100
2024-12-01 01:30:00,0.0,18.9,100
2024-12-01 01:45:00,0.0,18.8,100
2024-12-01 02:00:00,0.0,18.7,100
2024-12-01 02:15:00,0.0,18.7,100
2024-12-01 02:30:00,0.0,18.7,100
2024-12-01 02:45:00,0.0,18.8,100
2024-12-01 03:00:00,0.0,19.3,100
2024-12-01 03:15:00,0.0,19.0,100
2024-12-01 03:30:00,0.0,19.2,100
2024-12-01 03:45:00,0.0,19.3,100
2024-12-01 04:00:00,0.0,20.2,100
2024-12-01 04:15:00,0.0,20.8,100
2024-12-01 04:30:00,0.0,21.8,100
2024-12-01 04:45:00,0.0,22.9,100
2024-12-01 05:00:00,0.0,23.7,100
2024-12-01 05:15:00,0.0,23.8,100
2024-12-01 05:30:00,0.0,24.4,100
2024-12-01 05:45:00,0.0,24.6,100
2024-12-01 06:00:00,0.0,24.9,100
2024-12-01 06:15:00,0.0,24.6,100
2024-12-01 06:30:00,0.0,24.9,100
2024-12-01 06:45:00,0.0,25.4,100
2024-12-01 07:00:00,0.0,25.8,100
2024-12-01 07:15:00,0.0,26.3,100
2024-12-01 07:30:00,0.0,26.4,100
2024-12-01 07:45:00,0.0,26.5,100
2024-12-01 08:00:00,0.0,26.2,100
2024-12-01 08:15:00,0.0,26.2,100
2024-12-01 08:30:00,0.0,27.2,100
2024-12-01 08:45:00,0.0,27.4,100
2024-12-01 09:00:00,0.0,26.8,100
2024-12-01 09:15:00,0.0,27.8,100
2024-12-01 09:30:00,0.0,27.7,100
2024-12-01 09:45:00,0.0,27.6,100
2024-12-01 10:00:00,0.0,27.9,100
2024-12-01 10:15:00,0.0,27.9,100
2024-12-01 10:30:00,0.0,27.4,100
2024-12-01 10:45:00,0.0,27.0,100
2024-12-01 11:00:00,0.0,26.9,100
2024-12-01 11:15:00,0.0,26.8,100
2024-12-01 11:30:00,0.0,26.4,100
2024-12-01 11:45:00,0.0,25.9,100
2024-12-01 12:00:00,0.0,25.1,100
2024-12-01 12:15:00,0.0,24.9,100
2024-12-01 12:30:00,0.0,24.6,100
2024-12-01 12:45:00,0.0,24.6,100
2024-12-01 13:00:00,0.0,24.6,100
2024-12-01 13:15:00,0.0,24.4,100
2024-12-01 13:30:00,0.0,24.3,100
2024-12-01 13:45:00,0.0,24.2,100
2024-12-01 14:00:00,0.0,24.5,100
2024-12-01 14:15:00,0.0,23.6,100
2024-12-01 14:30:00,0.0,23.6,100
2024-12-01 14:45:00,0.0,24.2,100
2024-12-01 15:00:00,0.0,23.1,100
2024-12-01 15:30:00,0.0,22.7,100
2024-12-01 15:45:00,0.0,22.2,100
2024-12-01 16:00:00,0.0,23.1,100
2024-12-01 16:15:00,0.0,22.9,100
2024-12-01 16:30:00,0.0,22.5,100
2024-12-01 16:45:00,0.0,22.2,100
2024-12-01 17:00:00,0.0,22.5,100
