DATETIME,RAIN_DAILY(mm),TEMP(C),RH(%)
2024-12-01 00:00:00,0.0,14.5,99
2024-12-01 00:15:00,0.0,14.5,99
2024-12-01 00:30:00,0.0,15.3,99
2024-12-01 00:45:00,0.0,15.5,99
2024-12-01 01:00:00,0.0,15.6,99
2024-12-01 01:15:00,0.0,15.5,99
2024-12-01 01:30:00,0.0,15.5,99
2024-12-01 01:45:00,0.0,15.6,99
2024-12-01 02:00:00,0.0,15.8,99
2024-12-01 02:15:00,0.0,16.3,99
2024-12-01 02:30:00,0.0,17.0,99
2024-12-01 02:45:00,0.0,18.1,99
2024-12-01 03:00:00,0.0,19.4,97
2024-12-01 03:15:00,0.0,21.1,73
2024-12-01 03:30:00,0.0,23.1,62
2024-12-01 03:45:00,0.0,23.8,58
2024-12-01 04:00:00,0.0,24.0,58
2024-12-01 04:15:00,0.0,24.7,58
2024-12-01 04:30:00,0.0,25.0,54
2024-12-01 04:45:00,0.0,25.6,55
2024-12-01 05:00:00,0.0,25.9,55
2024-12-01 05:15:00,0.0,26.1,52
2024-12-01 05:30:00,0.0,26.7,51
2024-12-01 05:45:00,0.0,27.8,51
2024-12-01 06:00:00,0.0,28.2,48
2024-12-01 06:15:00,0.0,28.0,51
2024-12-01 06:30:00,0.0,28.5,48
2024-12-01 06:45:00,0.0,29.5,49
2024-12-01 07:00:00,0.0,30.7,41
2024-12-01 07:15:00,0.0,29.3,47
2024-12-01 07:30:00,0.0,29.8,45
2024-12-01 07:45:00,0.0,30.5,43
2024-12-01 08:00:00,0.0,30.8,44
2024-12-01 08:15:00,0.0,29.6,50
2024-12-01 08:30:00,0.0,30.6,48
2024-12-01 08:45:00,0.0,30.0,46
2024-12-01 09:00:00,0.0,31.3,42
2024-12-01 09:15:00,0.0,31.0,44
2024-12-01 09:30:00,0.0,30.4,45
2024-12-01 09:45:00,0.0,30.3,44
2024-12-01 10:00:00,0.0,30.7,43
2024-12-01 10:15:00,0.0,30.0,48
2024-12-01 10:30:00,0.0,29.6,50
2024-12-01 10:45:00,0.0,29.2,50
2024-12-01 11:00:00,0.0,29.1,51
