DATETIME,RAIN_DAILY(mm),TEMP(C),RH(%)
2024-12-01 00:00:00,0.0,15.6,83
2024-12-01 00:15:00,0.0,15.7,83
2024-12-01 00:30:00,0.0,15.9,83
2024-12-01 00:45:00,0.0,15.7,83
2024-12-01 01:00:00,0.0,15.9,82
2024-12-01 01:15:00,0.0,16.1,83
2024-12-01 01:30:00,0.0,16.0,82
2024-12-01 01:45:00,0.0,15.9,82
2024-12-01 02:00:00,0.0,16.1,80
2024-12-01 02:15:00,0.0,16.6,80
2024-12-01 02:30:00,0.0,17.3,79
2024-12-01 02:45:00,0.0,18.3,78
2024-12-01 03:00:00,0.0,19.2,73
2024-12-01 03:15:00,0.0,20.3,70
2024-12-01 03:30:00,0.0,22.1,65
2024-12-01 03:45:00,0.0,23.3,58
2024-12-01 04:00:00,0.0,23.9,57
2024-12-01 04:15:00,0.0,24.5,58
2024-12-01 04:30:00,0.0,25.2,55
2024-12-01 04:45:00,0.0,26.2,53
2024-12-01 05:00:00,0.0,26.5,51
2024-12-01 05:15:00,0.0,27.0,51
2024-12-01 05:30:00,0.0,27.3,49
2024-12-01 05:45:00,0.0,27.4,50
2024-12-01 06:00:00,0.0,28.2,49
2024-12-01 06:15:00,0.0,28.6,48
2024-12-01 06:30:00,0.0,28.5,49
2024-12-01 07:00:00,0.0,29.1,46
2024-12-01 07:15:00,0.0,29.7,47
2024-12-01 07:45:00,0.0,30.4,44
2024-12-01 08:00:00,0.0,30.9,44
2024-12-01 08:15:00,0.0,30.5,45
2024-12-01 08:30:00,0.0,31.0,44
2024-12-01 08:45:00,0.0,30.5,45
2024-12-01 09:00:00,0.0,30.0,47
2024-12-01 09:15:00,0.0,29.8,48
2024-12-01 09:30:00,0.0,30.1,48
2024-12-01 09:45:00,0.0,30.5,47
2024-12-01 10:00:00,0.0,31.0,45
2024-12-01 10:15:00,0.0,30.8,46
2024-12-01 10:30:00,0.0,30.6,46
2024-12-01 10:45:00,0.0,30.8,46
2024-12-01 11:00:00,0.0,29.6,48
2024-12-01 11:15:00,0.0,29.1,51
2024-12-01 11:30:00,0.0,28.7,51
2024-12-01 11:45:00,0.0,28.1,54
2024-12-01 12:00:00,0.0,27.9,54
2024-12-01 12:15:00,0.0,27.5,55
2024-12-01 12:30:00,0.0,27.5,56
2024-12-01 12:45:00,0.0,27.2,57
2024-12-01 13:00:00,0.0,26.7,58
2024-12-01 13:15:00,0.0,26.4,59
2024-12-01 13:30:00,0.0,25.9,61
2024-12-01 13:45:00,0.0,25.7,61
2024-12-01 14:00:00,0.0,25.6,62
2024-12-01 14:15:00,0.0,25.4,63
2024-12-01 14:30:00,0.0,24.3,65
2024-12-01 14:45:00,0.0,24.0,67
2024-12-01 15:00:00,0.0,23.9,68
2024-12-01 15:15:00,0.0,24.1,67
2024-12-01 15:30:00,0.0,24.6,67
2024-12-01 15:45:00,0.0,24.7,67
2024-12-01 16:00:00,0.0,23.9,68
2024-12-01 16:15:00,0.0,23.4,70
2024-12-01 16:30:00,0.0,23.1,72
2024-12-01 16:45:00,0.0,22.6,73
2024-12-01 17:00:00,0.0,22.6,73
2024-12-01 17:15:00,0.0,23.1,72
2024-12-01 17:30:00,0.0,23.2,72
2024-12-01 17:45:00,0.0,23.4,71
2024-12-01 18:00:00,0.0,23.5,71
2024-12-01 18:30:00,0.0,23.3,70
2024-12-01 18:45:00,0.0,23.0,70
2024-12-01 19:00:00,0.0,22.8,70
2024-12-01 19:15:00,0.0,22.6,70
2024-12-01 19:30:00,0.0,22.5,70
2024-12-01 19:45:00,0.0,22.4,69
2024-12-01 20:00:00,0.0,21.8,71
2024-12-01 20:15:00,0.0,21.7,71
2024-12-01 20:30:00,0.0,21.4,74
2024-12-01 20:45:00,0.0,20.8,75
2024-12-01 21:00:00,0.0,20.5,75
2024-12-01 21:15:00,0.0,20.9,75
2024-12-01 21:30:00,0.0,20.9,74
2024-12-01 21:45:00,0.0,20.8,75
2024-12-01 22:00:00,0.0,20.9,75
2024-12-01 22:30:00,0.0,20.7,75
2024-12-01 22:45:00,0.0,20.2,79
2024-12-01 23:00:00,0.0,20.0,82
2024-12-01 23:15:00,0.0,20.1,81
2024-12-01 23:30:00,0.0,20.2,81
2024-12-02 00:00:00,0.0,20.3,81
2024-12-02 00:15:00,0.0,20.1,82
2024-12-02 00:30:00,0.0,20.1,83
2024-12-02 00:45:00,0.0,20.1,83
2024-12-02 01:00:00,0.0,20.1,84
2024-12-02 01:15:00,0.0,20.7,84
2024-12-02 01:30:00,0.0,21.1,80
2024-12-02 01:45:00,0.0,21.3,80
2024-12-02 02:00:00,0.0,21.4,79
2024-12-02 02:15:00,0.0,21.8,79
2024-12-02 02:30:00,0.0,22.2,76
2024-12-02 02:45:00,0.0,23.0,73
2024-12-02 03:00:00,0.0,23.8,72
2024-12-02 03:15:00,0.0,23.9,70
2024-12-02 03:30:00,0.0,25.0,68
2024-12-02 03:45:00,0.0,26.0,65
2024-12-02 04:00:00,0.0,26.1,64
2024-12-02 04:15:00,0.0,26.5,63
2024-12-02 04:30:00,0.0,27.7,62
2024-12-02 04:45:00,0.0,27.2,62
2024-12-02 05:00:00,0.0,28.1,61
2024-12-02 05:30:00,0.0,28.3,58
2024-12-02 05:45:00,0.0,29.0,58
2024-12-02 06:00:00,0.0,28.9,58
2024-12-02 06:15:00,0.0,28.8,58
2024-12-02 06:30:00,0.0,29.0,57
2024-12-02 06:45:00,0.0,29.2,57
2024-12-02 07:00:00,0.0,29.6,54
2024-12-02 07:15:00,0.0,29.6,55
2024-12-02 07:30:00,0.0,29.7,54
